name,gender,birthday,actorID,id,occupation,death,nationality,net_worth,is_alive,age,height
harold ford jr,male,1970-05-11,10041,36,['politician'],,us,3000000,True,53.0,1.8
tom hanks,male,1956-07-09,10042,37,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']",,us,400000000,True,67.0,1.83
wyatt nash,,,10043,41,,,,2000000,,,
sara bareilles,female,1979-12-07,10044,42,"['musician', 'singer-songwriter', 'pianist', 'actor']",,us,16000000,True,44.0,1.65
michael gambon,male,1940-10-19,10045,44,"['actor', 'engineer', 'voice_actor']",,ie,15000000,True,83.0,1.83
vernon wells,male,1978-12-08,10046,45,['baseball_player'],,us,75000000,True,45.0,1.85
kaitlyn dever,female,1996-12-21,10047,46,['actor'],,us,3000000,True,27.0,
rich froning,,1987-07-21,10048,47,,,,5000000,True,36.0,1.75
susan sarandon,female,1946-10-04,10049,48,"['actor', 'voice_actor', 'activist', 'film_producer']",,us,60000000,True,77.0,1.7
michael shannon,male,1974-08-07,10050,51,"['actor', 'musician']",,us,8000000,True,49.0,1.9
vera farmiga,female,1973-08-06,10051,52,"['actor', 'film_director']",,us,10000000,True,50.0,1.65
jeremy sisto,male,1974-10-06,10052,54,"['actor', 'voice_actor', 'film_producer', 'screenwriter']",,us,6000000,True,49.0,1.87
clark duke,male,1985-05-05,10053,64,"['actor', 'voice_actor']",,us,4000000,True,38.0,1.66
ron livingston,male,1967-06-05,10054,65,"['actor', 'voice_actor']",,us,5000000,True,56.0,1.79
kevin costner,male,1955-01-18,10055,67,"['actor', 'film_producer', 'film_director', 'television_producer', 'singer', 'musician', 'businessperson', 'model']",,us,250000000,True,69.0,1.85
daniel bruhl,male,1978-06-16,10056,69,['actor'],,de,4000000,True,45.0,1.76
tadanobu asano,male,1973-11-27,10057,70,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",,jp,10000000,True,50.0,1.79
octavia spencer,female,1970-05-25,10058,72,"['actor', 'film_producer', 'film_director', 'screenwriter']",,us,14000000,True,53.0,1.57
tadanobu asano,male,1973-11-27,10059,74,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",,jp,10000000,True,50.0,1.79
michelle williams (destiny's child),female,1979-07-23,10060,77,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",,us,10000000,True,44.0,1.75
michelle williams,female,1980-09-09,10061,77,['actor'],,us,30000000,True,43.0,1.63
donnie yen,male,1963-07-27,10062,78,"['film_director', 'actor', 'film_producer', 'martial_artist', 'screenwriter', 'performer', 'action_director']",,us,40000000,True,60.0,1.73
zoe saldana,female,1978-06-19,10063,79,"['actor', 'voice_actor', 'film_producer']",,us,35000000,True,45.0,1.7
nia long,female,1970-10-30,10064,80,"['actor', 'music_video_director', 'dancer', 'voice_actor']",,us,6000000,True,53.0,1.57
elizabeth banks,female,1974-02-10,10065,82,"['actor', 'film_director', 'film_producer', 'voice_actor']",,us,50000000,True,50.0,1.65
samantha mathis,female,1970-05-12,10066,83,['actor'],,us,4000000,True,53.0,1.65
rachel boston,female,1982-05-09,10067,86,['actor'],,us,4000000,True,41.0,1.75
michelle williams (destiny's child),female,1979-07-23,10068,87,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",,us,10000000,True,44.0,1.75
michelle williams,female,1980-09-09,10069,87,['actor'],,us,30000000,True,43.0,1.63
joaquim de almeida,male,1957-03-15,10070,88,"['actor', 'voice_actor']",,us,10000000,True,67.0,1.72
zak bagans,male,1977-04-05,10071,89,"['television_producer', 'television_director', 'television_editor', 'writer']",,us,30000000,True,46.0,1.82
woody allen,male,1935-12-01,10072,99,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",,us,140000000,True,88.0,1.65
viola davis,female,1965-08-11,10073,104,"['actor', 'film_producer']",,us,25000000,True,58.0,1.65
tessa thompson,female,1983-10-03,10074,106,['actor'],,us,4000000,True,40.0,1.62
mark hamill,male,1951-09-25,10075,109,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']",,us,18000000,True,72.0,1.75
tadanobu asano,male,1973-11-27,10076,111,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",,jp,10000000,True,50.0,1.79
kate micucci,female,1980-03-31,10077,114,"['actor', 'comedian', 'composer']",,us,500000,True,43.0,1.57
rebel wilson,female,1986-02-03,10078,116,"['actor', 'stand-up_comedian', 'screenwriter', 'spokesperson', 'voice_actor', 'entrepreneur', 'television_producer', 'comedian']",,au,22000000,True,38.0,1.59
michelle monaghan,female,1976-03-23,10079,117,"['actor', 'fashion_model', 'film_producer']",,us,16000000,True,47.0,1.7
karen gillan,female,1987-11-28,10080,118,"['actor', 'model']",,gb,2000000,True,36.0,1.8
michael moore,male,1954-04-23,10081,123,"['film_director', 'film_producer', 'screenwriter', 'writer', 'actor', 'critic', 'presenter']",,us,30000000,True,69.0,1.82
hugh grant,male,1960-09-09,10082,124,"['actor', 'film_producer', 'voice_actor']",,gb,150000000,True,63.0,1.8
tony bennett,male,1926-08-03,10083,126,"['singer', 'artist', 'musician', 'actor', 'painter', 'writer', 'visual_artist', 'music_artist']",,us,200000000,True,97.0,1.71
xavier dolan,male,1989-03-20,10084,137,"['screenwriter', 'film_director', 'actor', 'film_producer', 'film_editor', 'voice_actor']",,ca,4000000,True,35.0,1.69
sebastian stan,male,1982-08-13,10085,138,['actor'],,ro,4000000,True,41.0,1.83
melissa leo,female,1960-09-14,10086,141,['actor'],,us,9000000,True,63.0,
sally hawkins,female,1976-04-27,10087,143,['actor'],,gb,4000000,True,47.0,
kate mckinnon,female,1984-01-06,10088,144,"['comedian', 'actor']",,us,9000000,True,40.0,
reggie watts,male,1972-03-23,10089,146,"['comedian', 'singer', 'musician', 'actor', 'screenwriter', 'film_score_composer']",,us,2000000,True,51.0,1.83
elisabeth moss,female,1982-07-24,10090,151,"['actor', 'voice_actor']",,us,30000000,True,41.0,1.6
renee zellweger,female,1969-04-25,10091,154,"['actor', 'voice_actor', 'film_producer', 'television_producer', 'singer']",,us,90000000,True,54.0,1.63
justin timberlake,male,1981-01-31,10092,157,"['actor', 'record_producer', 'musician', 'businessperson', 'dancer', 'singer', 'television_producer', 'singer-songwriter', 'film_producer', 'voice_actor']",,us,250000000,True,43.0,1.82
james franco,male,1978-04-19,10093,158,"['actor', 'author', 'film_director', 'screenwriter', 'film_producer', 'teacher', 'model', 'film_editor', 'poet']",,us,30000000,True,45.0,1.8
vernon forrest,,,10094,167,,,,3000000,,,
vernon davis,male,1984-01-31,10095,167,['american_football_player'],,us,16000000,True,40.0,1.91
shannon lee,female,1969-04-19,10096,167,"['presenter', 'actor', 'film_producer', 'businessperson', 'television_producer']",,us,10000000,True,54.0,1.75
vernon reid,male,1958-08-22,10097,167,"['guitarist', 'songwriter', 'musician', 'record_producer', 'film_score_composer', 'composer']",,us,5000000,True,65.0,
vernon macklin,male,1986-09-25,10098,167,,,us,500000,True,37.0,2.08
ted vernon,male,,10099,167,,,,15000000,,,
don cannon,,,10100,167,,,,10000000,,,
shannon bex,female,1980-03-22,10101,167,"['singer', 'model', 'dancer']",,us,1000000,True,43.0,1.62
michael shannon,male,1974-08-07,10102,167,"['actor', 'musician']",,us,8000000,True,49.0,1.9
julian lennon,male,1963-04-08,10103,167,"['singer', 'musician', 'writer', 'singer-songwriter', 'record_producer', 'guitarist', 'actor', 'film_score_composer']",,gb,50000000,True,60.0,
shannon tweed,female,1957-03-10,10104,167,"['model', 'actor']",,ca,50000000,True,67.0,1.78
phillip buchanon,male,1980-09-19,10105,167,['american_football_player'],,us,3000000,True,43.0,1.8
shannon elizabeth,female,1973-09-07,10106,167,"['actor', 'fashion_model', 'film_producer', 'professional_poker_player']",,us,7000000,True,50.0,1.75
nona gaye,female,1974-09-04,10107,167,"['singer', 'actor', 'model', 'musician', 'film_score_composer']",,us,3000000,True,49.0,1.78
terry gannon,male,1963-11-01,10108,167,,,us,3000000,True,60.0,
shannon woodward,female,1984-12-17,10109,167,"['actor', 'singer', 'writer', 'guitarist']",,us,3000000,True,39.0,1.6
ed o'bannon,male,1972-08-14,10110,167,['basketball_player'],,us,100000,True,51.0,
mike vernon,,,10111,167,,,,11000000,,,
nonito donaire,male,1982-11-16,10112,167,['professional_boxer'],,us,5000000,True,41.0,1.68
scott shannon,male,1947,10113,167,,,us,2000000,,,
liz mcclarnon,female,1981-04-10,10114,167,"['singer', 'presenter', 'dancer']",,gb,10000000,True,42.0,1.67
cynthia lennon,female,1939-09-10,10115,167,"['artist', 'visual_artist']",2015-04-01,gb,6000000,False,75.0,1.6
vernon maxwell,male,1965-09-12,10116,167,['basketball_player'],,us,4000000,True,58.0,
frank hannon,male,1966-10-03,10117,167,"['guitarist', 'songwriter', 'musician', 'singer']",,,4000000,True,57.0,
dyan cannon,female,1937-01-04,10118,167,"['actor', 'film_director', 'screenwriter', 'singer-songwriter', 'film_producer', 'film_editor']",,us,16000000,True,87.0,1.65
shannon larkin,male,1967-04-24,10119,167,"['drummer', 'musician']",,us,13000000,True,56.0,
justin vernon (bon iver),male,1981-04-30,10120,167,"['singer', 'songwriter', 'record_producer', 'multi-instrumentalist']",,us,8000000,True,42.0,1.91
karissa shannon,,,10121,167,,,,200000,,,
pierre-luc gagnon,male,1980-05-02,10122,167,['skateboarder'],,ca,6000000,True,43.0,1.77
shannon briggs,male,1971-12-04,10123,167,"['professional_boxer', 'actor']",,us,10000000,True,52.0,1.93
steve buscemi,male,1957-12-13,10124,170,"['actor', 'film_producer', 'television_director', 'film_director', 'screenwriter', 'voice_actor', 'firefighter']",,us,35000000,True,66.0,1.75
thomas kretschmann,male,1962-09-08,10125,174,"['actor', 'voice_actor', 'swimmer']",,de,8000000,True,61.0,1.76
jared leto,male,1971-12-26,10126,176,"['actor', 'musician', 'singer-songwriter', 'composer', 'film_producer', 'photographer', 'painter', 'businessperson', 'film_director', 'philanthropist']",,us,90000000,True,52.0,1.75
farhan akhtar,male,1974-09-01,10127,177,"['film_director', 'screenwriter', 'film_producer', 'lyricist', 'actor', 'presenter', 'writer']",,in,2500000,True,49.0,1.7
todd fisher,male,,10128,178,"['television_producer', 'writer', 'film_producer', 'actor']",,us,15000000,,,
chris rock,male,1965-02-07,10129,180,"['comedian', 'screenwriter', 'actor', 'film_director', 'film_producer', 'television_producer', 'voice_actor', 'presenter']",,us,60000000,True,59.0,1.78
parker posey,female,1968-11-08,10130,183,"['actor', 'singer']",,us,10000000,True,55.0,1.64
timothee chalamet,,,10131,184,,,,6000000,,,
willem dafoe,male,1955-07-22,10132,185,"['actor', 'voice_actor', 'model']",,us,40000000,True,68.0,1.78
robert pattinson,male,1986-05-13,10133,188,"['model', 'musician', 'actor', 'film_producer']",,gb,100000000,True,37.0,1.85
nicholas hoult,male,1989-12-07,10134,190,"['actor', 'model', 'voice_actor']",,gb,8000000,True,34.0,1.9
woody harrelson,male,1961-07-23,10135,192,"['actor', 'businessperson', 'television_producer']",,us,70000000,True,62.0,1.78
ranbir kapoor,male,1982-09-28,10136,193,['actor'],,in,50000000,True,41.0,1.83
jonathan banks,male,1947-01-31,10137,194,['actor'],,us,5000000,True,77.0,
tony shalhoub,male,1953-10-09,10138,195,"['actor', 'television_producer', 'film_producer', 'voice_actor']",,us,30000000,True,70.0,1.77
"martin luther king, jr.",male,1929-01-15,10139,198,"['writer', 'civil_rights_activist', 'minister_of_religion']",1968-04-04,us,250000,False,39.0,1.69
tracy letts,male,1965-07-04,10140,199,"['screenwriter', 'playwright', 'actor']",,us,1000000,True,58.0,
gal gadot,female,1985-04-30,10141,204,"['actor', 'model']",,il,30000000,True,38.0,1.78
jennifer carpenter,female,1979-12-07,10142,209,"['actor', 'voice_actor']",,us,8000000,True,44.0,1.74
lily james,female,1989-04-05,10143,210,['actor'],,gb,4000000,True,34.0,
melanie griffith,female,1957-08-09,10144,211,"['actor', 'model', 'voice_actor', 'film_producer']",,us,40000000,True,66.0,1.75
ross lynch,male,1995-12-29,10145,216,"['actor', 'singer', 'dancer', 'musician']",,us,5000000,True,28.0,1.83
shelley hennig,female,1987-01-02,10146,217,['actor'],,us,1000000,True,37.0,1.72
logan huffman,male,1989-12-22,10147,218,['actor'],,us,150000,True,34.0,
rafe spall,male,1983-03-10,10148,219,['actor'],,gb,3000000,True,41.0,
scott adkins,male,1976-06-17,10149,220,"['actor', 'martial_artist', 'stunt_performer']",,gb,2000000,True,47.0,1.78
gael garcia bernal,male,1978-11-30,10150,221,"['actor', 'film_producer', 'television_producer', 'film_director']",,mx,12000000,True,45.0,1.68
willem dafoe,male,1955-07-22,10151,222,"['actor', 'voice_actor', 'model']",,us,40000000,True,68.0,1.78
tom baker,male,1934-01-20,10152,223,"['actor', 'comedian']",,gb,10000000,True,90.0,1.91
will ferrell,male,1967-07-16,10153,225,"['actor', 'film_producer', 'screenwriter', 'comedian', 'television_producer', 'impressionist', 'voice_actor', 'singer']",,us,160000000,True,56.0,1.91
willem dafoe,male,1955-07-22,10154,226,"['actor', 'voice_actor', 'model']",,us,40000000,True,68.0,1.78
miles teller,male,1987-02-20,10155,227,['actor'],,us,10000000,True,37.0,1.83
owen wilson,male,1968-11-18,10156,229,"['actor', 'screenwriter', 'film_producer', 'voice_actor']",,us,70000000,True,55.0,1.79
denzel washington,male,1954-12-28,10157,231,"['actor', 'film_producer', 'film_director', 'spokesperson', 'voice_actor']",,us,250000000,True,69.0,1.85
judy greer,female,1975-07-20,10158,237,"['actor', 'voice_actor', 'television_producer']",,us,5000000,True,48.0,1.78
thomas jane,male,1969-02-22,10159,241,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']",,us,16000000,True,55.0,1.8
will smith,male,1968-09-25,10160,242,"['actor', 'film_producer', 'record_producer', 'television_producer', 'rapper', 'screenwriter']",,us,350000000,True,55.0,1.88
will smith (nfl),male,1981-07-04,10161,242,['american_football_player'],,us,13000000,True,42.0,1.91
tom hiddleston,male,1981-02-09,10162,243,"['actor', 'voice_actor']",,gb,25000000,True,43.0,1.87
vincent martella,male,1992-10-15,10163,244,"['actor', 'singer', 'voice_actor']",,us,3000000,True,31.0,1.65
jon bernthal,male,1976-09-20,10164,245,['actor'],,us,10000000,True,47.0,1.78
woody harrelson,male,1961-07-23,10165,246,"['actor', 'businessperson', 'television_producer']",,us,70000000,True,62.0,1.78
odeya rush,female,1997-05-12,10166,247,['actor'],,il,500000,True,26.0,1.61
laurence fishburne,male,1961-07-30,10167,250,"['actor', 'playwright', 'film_producer', 'film_director', 'voice_actor', 'screenwriter']",,us,30000000,True,62.0,1.84
miles teller,male,1987-02-20,10168,254,['actor'],,us,10000000,True,37.0,1.83
rebecca hall,female,1982-05-19,10169,255,['actor'],,gb,7000000,True,41.0,1.75
margot robbie,female,1990-07-02,10170,256,['actor'],,au,26000000,True,33.0,1.68
jerome flynn,male,1963-03-16,10171,258,"['actor', 'singer']",,gb,3000000,True,61.0,1.83
ryan gosling,male,1980-11-12,10172,260,"['actor', 'musician', 'restaurateur', 'film_director', 'screenwriter', 'film_producer', 'activist']",,ca,70000000,True,43.0,1.84
kristin chenoweth,female,1968-07-24,10173,261,"['singer', 'actor', 'author', 'voice_actor']",,us,16000000,True,55.0,1.5
kate hudson,female,1979-04-19,10174,263,"['actor', 'film_producer']",,us,80000000,True,44.0,1.68
victor garber,male,1949-03-16,10175,264,"['actor', 'singer']",,ca,5000000,True,75.0,1.88
vince vaughn,male,1970-03-28,10176,265,"['actor', 'comedian', 'film_producer', 'screenwriter', 'television_producer']",,us,70000000,True,53.0,1.96
liam neeson,male,1952-06-07,10177,267,"['actor', 'voice_actor']",,us,145000000,True,71.0,1.93
steve carell,male,1962-08-16,10178,268,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",,us,80000000,True,61.0,1.75
steven yeun,male,1983-12-21,10179,269,['actor'],,us,4000000,True,40.0,1.75
jenna fischer,female,1974-03-07,10180,270,"['actor', 'television_producer', 'film_director']",,us,16000000,True,50.0,1.64
hugh bonneville,male,1963-11-10,10181,271,['actor'],,gb,8000000,True,60.0,1.87
jaeden lieberher,,,10182,273,,,,4000000,,,
kate winslet,female,1975-10-05,10183,274,"['actor', 'singer', 'voice_actor']",,gb,65000000,True,48.0,1.69
tom hanks,male,1956-07-09,10184,275,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']",,us,400000000,True,67.0,1.83
jackie chan,male,1954-04-07,10185,276,"['actor', 'film_producer', 'film_director', 'stunt_performer', 'screenwriter', 'martial_artist', 'singer', 'television_producer', 'entrepreneur', 'comedian']",,hk,400000000,True,69.0,1.74
tatiana maslany,female,1985-09-22,10186,277,['actor'],,ca,3000000,True,38.0,1.63
judi dench,female,1934-12-09,10187,278,"['actor', 'author', 'voice_actor', 'theatre_director', 'musician']",,gb,45000000,True,89.0,1.55
jennifer lawrence,female,1990-08-15,10188,279,"['actor', 'model', 'film_producer']",,us,160000000,True,33.0,1.75
scott eastwood,male,1986-03-21,10189,280,['actor'],,us,10000000,True,38.0,
mark rylance,male,1960-01-18,10190,281,"['actor', 'theatre_director', 'playwright']",,gb,10000000,True,64.0,1.73
tom cruise,male,1962-07-03,10191,282,"['actor', 'film_producer', 'screenwriter', 'television_director']",,us,600000000,True,61.0,1.7
timothy spall,male,1957-02-27,10192,284,"['actor', 'presenter', 'voice_actor']",,gb,4000000,True,67.0,1.7
john boyega,male,1992-03-17,10193,285,['actor'],,gb,6000000,True,32.0,
taron egerton,,,10194,286,,,,6000000,,,
joey lawrence,male,1976-04-20,10195,291,"['actor', 'presenter', 'television_producer', 'voice_actor', 'record_producer', 'singer-songwriter']",,us,250000,True,47.0,1.73
willem dafoe,male,1955-07-22,10196,293,"['actor', 'voice_actor', 'model']",,us,40000000,True,68.0,1.78
sean penn,male,1960-08-17,10197,294,"['actor', 'film_director', 'film_producer', 'screenwriter', 'politician']",,us,70000000,True,63.0,1.73
sam heughan,male,1980-04-30,10198,295,['actor'],,gb,5000000,True,43.0,1.92
burt ward,male,1945-07-06,10199,296,['actor'],,us,20000000,True,78.0,1.73
michael keaton,male,1951-09-05,10200,299,"['actor', 'dancer', 'singer', 'comedian', 'voice_actor']",,us,40000000,True,72.0,1.78
joel edgerton,male,1974-06-23,10201,300,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']",,au,3000000,True,49.0,1.8
dane dehaan,male,1986-02-06,10202,303,['actor'],,us,750000,True,38.0,1.7
peter dinklage,male,1969-06-11,10203,304,"['actor', 'voice_actor']",,us,25000000,True,54.0,1.35
daniel craig,male,1968-03-02,10204,305,"['actor', 'voice_actor']",,gb,160000000,True,56.0,1.78
ryan reynolds,male,1976-10-23,10205,306,"['actor', 'voice_actor', 'film_producer']",,ca,150000000,True,47.0,1.88
dane dehaan,male,1986-02-06,10206,307,['actor'],,us,750000,True,38.0,1.7
jonathan pryce,male,1947-06-01,10207,312,"['actor', 'singer', 'salesman', 'voice_actor', 'film_score_composer']",,gb,5000000,True,76.0,1.83
mark hamill,male,1951-09-25,10208,313,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']",,us,18000000,True,72.0,1.75
james mcavoy,male,1979-04-21,10209,315,"['actor', 'voice_actor']",,gb,17000000,True,44.0,1.7
maria valverde,female,1987-03-24,10210,316,['actor'],,es,6000000,True,36.0,1.64
woody harrelson,male,1961-07-23,10211,317,"['actor', 'businessperson', 'television_producer']",,us,70000000,True,62.0,1.78
elizabeth olsen,female,1989-02-16,10212,319,"['actor', 'singer']",,us,11000000,True,35.0,1.7
owen wilson,male,1968-11-18,10213,320,"['actor', 'screenwriter', 'film_producer', 'voice_actor']",,us,70000000,True,55.0,1.79
lori loughlin,female,1964-07-28,10214,322,"['actor', 'television_producer', 'model', 'screenwriter']",,us,70000000,True,59.0,1.68
sally hawkins,female,1976-04-27,10215,324,['actor'],,gb,4000000,True,47.0,
hugh bonneville,male,1963-11-10,10216,325,['actor'],,gb,8000000,True,60.0,1.87
willem dafoe,male,1955-07-22,10217,326,"['actor', 'voice_actor', 'model']",,us,40000000,True,68.0,1.78
woody harrelson,male,1961-07-23,10218,328,"['actor', 'businessperson', 'television_producer']",,us,70000000,True,62.0,1.78
rosamund pike,female,1979-01-27,10219,331,['actor'],,gb,9000000,True,45.0,1.74
matthew gray gubler,male,1980-03-09,10220,332,"['actor', 'film_director', 'painter', 'fashion_model', 'photographer', 'television_director', 'screenwriter', 'film_producer', 'cinematographer', 'film_editor']",,us,10000000,True,44.0,1.85
regina hall,female,1970-12-12,10221,333,['actor'],,us,4000000,True,53.0,1.63
mark strong,male,1963-08-05,10222,334,"['actor', 'voice_actor']",,gb,9000000,True,60.0,1.88
tom hollander,male,1967-08-25,10223,335,"['actor', 'television_producer', 'screenwriter']",,gb,5000000,True,56.0,1.65
tom holland,male,1996-06-01,10224,335,"['film_director', 'actor', 'screenwriter', 'television_director', 'film_producer', 'television_producer']",,,15000000,True,27.0,
john john florence,male,1992-10-18,10225,337,"['actor', 'stunt_performer']",,us,12000000,True,31.0,1.83
nicole kidman,female,1967-06-20,10226,339,"['singer', 'actor', 'film_producer']",,au,250000000,True,56.0,1.8
kenny aronoff,male,1953-03-07,10227,340,['drummer'],,us,10000000,True,71.0,
jon hamm,male,1971-03-10,10228,341,"['actor', 'television_producer', 'television_director', 'film_director', 'voice_actor', 'comedian']",,us,40000000,True,53.0,1.88
michelle williams (destiny's child),female,1979-07-23,10229,342,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",,us,10000000,True,44.0,1.75
michelle williams,female,1980-09-09,10230,342,['actor'],,us,30000000,True,43.0,1.63
robert de niro,male,1943-08-17,10231,343,"['actor', 'film_producer', 'film_director', 'voice_actor', 'television_producer']",,us,500000000,True,80.0,1.77
teresa palmer,female,1986-02-26,10232,344,"['actor', 'model', 'film_producer']",,au,3000000,True,38.0,1.67
naomi watts,female,1968-09-28,10233,346,"['actor', 'film_producer', 'voice_actor']",,au,30000000,True,55.0,1.64
rooney mara,female,1985-04-17,10234,349,['actor'],,us,16000000,True,38.0,1.6
steve carell,male,1962-08-16,10235,351,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",,us,80000000,True,61.0,1.75
miranda richardson,female,1958-03-03,10236,352,"['actor', 'voice_actor']",,gb,8000000,True,66.0,1.65
mindy cohn,female,1966-05-20,10237,353,"['actor', 'voice_actor', 'comedian', 'singer']",,us,1000000,True,57.0,
johnny depp,male,1963-06-09,10238,355,"['actor', 'film_producer', 'musician', 'film_director', 'screenwriter', 'voice_actor', 'restaurateur', 'winemaker']",,us,150000000,True,60.0,1.78
sam elliott,male,1944-08-09,10239,356,"['actor', 'voice_actor', 'film_producer']",,us,10000000,True,79.0,1.88
zoe kazan,female,1983-09-09,10240,357,"['actor', 'screenwriter', 'playwright']",,us,3000000,True,40.0,1.63
whitney houston,female,1963-08-09,10241,359,"['record_producer', 'singer', 'model', 'songwriter', 'film_producer', 'actor', 'musician', 'artist', 'music_artist']",2012-02-11,us,-20000000,False,48.0,1.73
