name,gender,birthday,directorID,id,occupation,death,nationality,net_worth,is_alive,age,height
robert downey jr,male,1965-04-04,10018,36,"['actor', 'film_producer', 'screenwriter', 'singer-songwriter', 'comedian']",,us,300000000,True,58.0,1.74
lillo brancato jr,male,1976-03-30,10019,36,['actor'],,us,10000,True,47.0,
"tyrone power, jr.",male,1959-01-22,10020,36,['actor'],,us,3000000,True,65.0,
ross bagdasarian jr,male,1949-10-25,10021,36,"['record_producer', 'actor', 'film_producer', 'voice_actor', 'television_producer', 'screenwriter', 'singer']",,us,15000000,True,74.0,
galen weston jr,male,1972-12-19,10022,36,['businessperson'],,ca,7600000000,True,51.0,
al unser jr,male,1962-04-19,10023,36,['race_car_driver'],,us,20000000,True,61.0,
cisco rosado jr,,,10024,36,,,,3000000,,,
"henry louis gates, jr.",male,1950-09-16,10025,36,"['historian', 'essayist', 'author', 'writer', 'editor', 'literary_critic', 'university_professor', 'documentary_filmmaker']",,us,1000000,True,73.0,
palmer williams jr,,,10026,36,,,,400000,,,
desi arnaz jr,male,1953-01-19,10027,36,"['musician', 'actor', 'drummer']",,us,40000000,True,71.0,1.8
"mike dunleavy, jr.",male,1980-09-15,10028,36,['basketball_player'],,us,30000000,True,43.0,2.06
"ted ginn, jr.",male,1985-04-12,10029,36,['american_football_player'],,us,13000000,True,38.0,1.8
"isiah whitlock, jr.",male,1954-09-13,10030,36,['actor'],,us,92000000,True,69.0,1.83
"gary matthews, jr.",male,1974-08-25,10031,36,['baseball_player'],,us,25000000,True,49.0,
"jim gallagher, jr.",male,1961-03-24,10032,36,['golfer'],,us,10000000,True,62.0,1.83
harold ford jr,male,1970-05-11,10033,36,['politician'],,us,3000000,True,53.0,1.8
steven spielberg,male,1946-12-18,10034,37,"['film_producer', 'film_director', 'screenwriter', 'entrepreneur', 'television_producer', 'actor', 'film_editor', 'television_director', 'businessperson']",,us,7000000000,True,77.0,1.72
cameron crowe,male,1957-07-13,10035,48,"['film_director', 'screenwriter', 'film_producer', 'writer', 'editor', 'actor', 'journalist']",,us,45000000,True,66.0,1.83
john carroll lynch,male,1963-08-01,10036,65,['actor'],,us,3000000,True,60.0,1.91
paul thomas anderson,male,1970-06-26,10037,66,"['screenwriter', 'film_producer', 'film_director', 'actor']",,us,70000000,True,53.0,
aaron sorkin,male,1961-06-09,10038,67,"['screenwriter', 'television_producer', 'playwright', 'script_doctor', 'actor']",,us,90000000,True,62.0,
ridley scott,male,1937-11-30,10039,77,"['film_producer', 'film_director', 'production_designer', 'television_producer', 'television_director']",,gb,400000000,True,86.0,1.74
zak bagans,male,1977-04-05,10040,89,"['television_producer', 'television_director', 'television_editor', 'writer']",,us,30000000,True,46.0,1.82
woody allen,male,1935-12-01,10041,99,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",,us,140000000,True,88.0,1.65
alex garland,male,1970,10042,106,"['screenwriter', 'film_producer', 'author', 'novelist', 'writer']",,gb,5000000,,,
brian johnson,male,1947-10-05,10043,109,"['singer', 'singer-songwriter', 'film_score_composer', 'actor', 'lyricist']",,gb,90000000,True,76.0,1.65
rian johnson,male,1973-12-17,10044,109,"['screenwriter', 'film_director', 'film_producer', 'film_editor']",,us,20000000,True,50.0,1.68
guillermo del toro,male,1964-10-09,10045,119,"['film_director', 'screenwriter', 'film_producer', 'actor', 'novelist', 'television_director', 'television_producer', 'voice_actor']",,mx,30000000,True,59.0,1.78
michael moore,male,1954-04-23,10046,123,"['film_director', 'film_producer', 'screenwriter', 'writer', 'actor', 'critic', 'presenter']",,us,30000000,True,69.0,1.82
xavier dolan,male,1989-03-20,10047,137,"['screenwriter', 'film_director', 'actor', 'film_producer', 'film_editor', 'voice_actor']",,ca,4000000,True,35.0,1.69
guillermo del toro,male,1964-10-09,10048,143,"['film_director', 'screenwriter', 'film_producer', 'actor', 'novelist', 'television_director', 'television_producer', 'voice_actor']",,mx,30000000,True,59.0,1.78
carlos saldanha,male,1965-01-24,10049,144,"['film_director', 'film_producer', 'animator', 'voice_actor', 'screenwriter']",,br,10000000,True,59.0,
woody allen,male,1935-12-01,10050,157,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",,us,140000000,True,88.0,1.65
james franco,male,1978-04-19,10051,158,"['actor', 'author', 'film_director', 'screenwriter', 'film_producer', 'teacher', 'model', 'film_editor', 'poet']",,us,30000000,True,45.0,1.8
armando iannucci,male,1963-11-28,10052,170,"['radio_producer', 'comedian', 'writer', 'screenwriter', 'satirist', 'television_director', 'television_producer', 'film_producer']",,gb,8000000,True,60.0,
bo burnham,male,1990-08-21,10053,180,"['actor', 'singer-songwriter', 'comedian', 'rapper', 'musician', 'screenwriter']",,us,4000000,True,33.0,1.96
stanley tucci,male,1960-11-11,10054,195,"['actor', 'screenwriter', 'television_producer', 'film_producer', 'film_director', 'writer', 'voice_actor']",,us,25000000,True,63.0,1.72
greta gerwig,female,1983-08-04,10055,199,"['actor', 'screenwriter', 'playwright', 'voice_actor', 'film_director']",,us,4000000,True,40.0,1.73
zack snyder,male,1966-03-01,10056,204,"['film_director', 'film_producer', 'screenwriter']",,us,60000000,True,58.0,1.7
ari sandel,male,,10057,217,"['film_director', 'film_producer']",,us,1000000,,,
lee unkrich,male,1967-08-08,10058,221,"['film_director', 'film_editor', 'screenwriter', 'voice_actor']",,us,2500000,True,56.0,
kenneth branagh,male,1960-12-10,10059,222,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_producer', 'voice_actor']",,gb,60000000,True,63.0,1.77
francis lee,male,1944-04-29,10060,228,['football_player'],,gb,18000000,True,79.0,
dan gilroy,male,1959-06-24,10061,231,['screenwriter'],,us,10000000,True,64.0,1.8
noah baumbach,male,1969-09-03,10062,236,"['screenwriter', 'film_director', 'actor', 'film_producer']",,us,16000000,True,54.0,1.75
david ayer,male,1968-01-18,10063,242,"['screenwriter', 'film_director', 'film_producer', 'actor']",,us,20000000,True,56.0,1.89
taika waititi,male,1975-08-16,10064,243,"['film_director', 'screenwriter', 'comedian', 'actor', 'photographer']",,nz,3000000,True,48.0,
rob reiner,male,1947-03-06,10065,246,"['film_director', 'actor', 'film_producer', 'screenwriter', 'activist']",,us,200000000,True,77.0,1.88
richard linklater,male,1960-07-30,10066,250,"['film_director', 'screenwriter', 'film_producer', 'actor', 'television_producer', 'television_director', 'cinematographer']",,us,12000000,True,63.0,1.75
angela robinson,female,1971-02-14,10067,255,"['film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer']",,us,3000000,True,53.0,
simon curtis,male,1960-03-11,10068,256,"['film_producer', 'television_director', 'television_producer', 'film_director']",,gb,20000000,True,64.0,
denis villeneuve,male,1967-10-03,10069,260,"['film_director', 'screenwriter']",,ca,16000000,True,56.0,
martin campbell,male,1943-10-24,10070,262,"['film_director', 'television_director', 'film_producer', 'television_producer', 'actor']",,nz,20000000,True,80.0,
danny strong,male,1974-06-06,10071,264,"['actor', 'screenwriter', 'film_producer']",,us,5000000,True,49.0,1.57
mike white,male,1970-06-28,10072,270,"['screenwriter', 'actor', 'television_producer', 'film_producer', 'film_director', 'television_director']",,us,4000000,True,53.0,1.75
mike whiteside,,,10073,270,,,,1000000,,,
andy serkis,male,1964-04-20,10074,271,"['actor', 'voice_actor', 'author', 'film_director', 'film_producer']",,gb,28000000,True,59.0,1.73
stephen frears,male,1941-06-20,10075,278,"['film_director', 'film_producer', 'actor', 'television_director', 'television_producer']",,gb,10000000,True,82.0,1.7
darren aronofsky,male,1969-02-12,10076,279,"['film_director', 'film_producer', 'screenwriter', 'actor']",,us,25000000,True,55.0,1.83
christopher nolan,male,1970-07-30,10077,281,"['screenwriter', 'film_producer', 'film_director', 'cinematographer', 'editor', 'film_editor']",,us,250000000,True,53.0,1.8
doug liman,male,1965-07-24,10078,282,"['television_producer', 'film_producer', 'film_director', 'television_director', 'cinematographer']",,us,50000000,True,58.0,1.87
kathryn bigelow,female,1951-11-27,10079,285,"['film_director', 'screenwriter', 'film_producer', 'actor', 'television_director']",,us,40000000,True,72.0,1.82
matthew vaughn,male,1971-03-07,10080,286,"['film_director', 'film_producer', 'screenwriter', 'television_producer']",,gb,30000000,True,53.0,1.83
justin chon,male,1981-05-29,10081,290,"['actor', 'entrepreneur', 'film_director']",,us,5000000,True,42.0,1.67
steve buscemi,male,1957-12-13,10082,293,"['actor', 'film_producer', 'television_director', 'film_director', 'screenwriter', 'voice_actor', 'firefighter']",,us,35000000,True,66.0,1.75
michael damian,male,1962-04-26,10083,295,"['actor', 'film_director', 'film_producer', 'screenwriter', 'musician']",,us,3000000,True,61.0,1.82
steven soderbergh,male,1963-01-14,10084,305,"['film_producer', 'television_producer', 'film_director', 'television_director', 'cinematographer', 'film_editor', 'screenwriter', 'television_editor', 'actor']",,us,80000000,True,61.0,1.83
luc besson,male,1959-03-18,10085,307,"['screenwriter', 'film_producer', 'film_director', 'television_producer', 'actor']",,fr,100000000,True,65.0,1.73
douglas barr,male,1949-05-01,10086,322,"['actor', 'film_director', 'screenwriter']",,us,5000000,True,74.0,
mark williams,male,1959-08-22,10087,326,"['comedian', 'actor', 'presenter', 'screenwriter']",,gb,6000000,True,64.0,1.85
sofia coppola,female,1971-05-14,10088,339,"['actor', 'film_producer', 'film_director', 'screenwriter', 'television_producer']",,us,40000000,True,52.0,1.64
edgar wright,male,1974-04-18,10089,341,"['film_director', 'television_director', 'screenwriter', 'actor', 'film_producer', 'editor', 'television_producer', 'tv_editor']",,gb,10000000,True,49.0,
barry levinson,male,1942-04-06,10090,343,"['film_director', 'film_producer', 'actor', 'screenwriter', 'television_producer', 'television_director']",,us,150000000,True,81.0,1.8
colin trevorrow,male,1976-09-13,10091,346,"['screenwriter', 'film_director', 'film_producer']",,us,5000000,True,47.0,
terrence malick,male,1943-11-30,10092,350,"['screenwriter', 'film_director', 'film_producer', 'actor', 'journalist', 'author']",,us,15000000,True,80.0,1.7
michael showalter,male,1970-06-17,10093,357,"['actor', 'comedian', 'television_producer', 'television_director', 'screenwriter', 'film_producer', 'film_director']",,us,3000000,True,53.0,1.8
nick broomfield,male,1948-01-30,10094,359,"['film_director', 'film_producer', 'film_editor', 'screenwriter', 'filmmaker', 'television_director', 'television_producer']",,gb,3000000,True,76.0,
patty jenkins,female,1971-07-24,10095,360,"['screenwriter', 'film_director', 'television_director']",,us,25000000,True,52.0,
sean foley,male,1964-11-21,10096,361,"['actor', 'theatre_director', 'comedian', 'writer']",,gb,4000000,True,59.0,
james gunn,male,1970-08-05,10097,377,"['screenwriter', 'film_producer', 'actor', 'film_director', 'television_producer', 'television_director', 'novelist', 'musician', 'cartoonist']",,us,50000000,True,53.0,1.82
doug liman,male,1965-07-24,10098,379,"['television_producer', 'film_producer', 'film_director', 'television_director', 'cinematographer']",,us,50000000,True,58.0,1.87
ridley scott,male,1937-11-30,10099,383,"['film_producer', 'film_director', 'production_designer', 'television_producer', 'television_director']",,gb,400000000,True,86.0,1.74
guy ritchie,male,1968-09-10,10100,387,"['film_director', 'screenwriter', 'film_producer', 'television_producer', 'businessperson', 'actor', 'copywriter']",,gb,150000000,True,55.0,1.8
zach braff,male,1975-04-06,10101,388,"['actor', 'film_director', 'voice_actor', 'television_producer', 'television_director', 'screenwriter', 'film_producer']",,us,20000000,True,48.0,1.83
rupert sanders,male,1971-03-16,10102,393,['film_director'],,gb,15000000,True,53.0,1.91
marc webb,male,1974-08-31,10103,394,"['film_director', 'music_video_director', 'television_producer', 'film_editor']",,us,18000000,True,49.0,
ken loach,male,1936-06-17,10104,396,"['film_director', 'television_director', 'screenwriter', 'television_producer']",,gb,5000000,True,87.0,
brian goodman,male,1963,10105,407,"['actor', 'film_director', 'screenwriter', 'television_director']",,us,5000000,,,
byron maxwell,male,1988-02-23,10106,415,['american_football_player'],,us,1500000,True,36.0,1.85
dax shepard,male,1975-01-02,10107,421,"['actor', 'comedian', 'screenwriter', 'film_director', 'voice_actor']",,us,40000000,True,49.0,1.88
victor salva,male,1958-03-29,10108,432,"['film_director', 'screenwriter', 'film_producer']",,us,100000,True,65.0,
gore verbinski,male,1964-03-16,10109,435,"['film_director', 'screenwriter', 'musician', 'film_producer', 'music_video_director']",,us,130000000,True,60.0,
danny boyle,male,1956-10-20,10110,437,"['film_producer', 'film_director', 'screenwriter', 'television_director', 'television_producer', 'theatre_director']",,gb,60000000,True,67.0,1.82
james mangold,male,1963-12-16,10111,439,"['screenwriter', 'film_director', 'television_producer', 'television_director']",,us,20000000,True,60.0,1.82
bill condon,male,1955-10-22,10112,441,"['screenwriter', 'film_director', 'film_producer', 'writer', 'actor']",,us,5000000,True,68.0,1.65
jordan peele,male,1979-02-21,10113,447,"['comedian', 'actor', 'screenwriter', 'television_producer', 'musician', 'lyricist']",,us,50000000,True,45.0,1.75
rob sitch,male,1962-03-17,10114,450,"['physician', 'screenwriter', 'actor', 'comedian', 'television_producer', 'television_director', 'film_producer', 'film_director']",,au,16000000,True,62.0,
stephen gaghan,male,1965-05-06,10115,456,"['screenwriter', 'film_director', 'television_producer']",,us,14000000,True,58.0,
damien chazelle,male,1985-01-19,10116,461,"['cinematographer', 'screenwriter', 'film_producer', 'film_director', 'film_editor']",,us,10000000,True,39.0,
jim jarmusch,male,1953-01-22,10117,472,"['film_director', 'film_producer', 'screenwriter', 'actor', 'film_editor', 'cinematographer', 'film_score_composer']",,us,5000000,True,71.0,1.88
peter bergman,male,1953-06-11,10118,475,['actor'],,us,10000000,True,70.0,
peter berg,male,1962-03-11,10119,475,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer']",,us,40000000,True,62.0,1.85
martin scorsese,male,1942-11-17,10120,477,"['film_producer', 'actor', 'film_director', 'screenwriter', 'television_producer', 'television_director', 'film_editor', 'film_historian']",,us,150000000,True,81.0,1.63
mike mills,male,1958-12-17,10121,478,"['record_producer', 'musician', 'songwriter', 'organist', 'keyboard_player', 'bassist', 'composer', 'multi-instrumentalist']",,us,60000000,True,65.0,
ben affleck,male,1972-08-15,10122,480,"['actor', 'film_director', 'screenwriter', 'film_producer', 'television_producer', 'professional_poker_player', 'businessperson']",,us,150000000,True,51.0,1.92
john madden,male,1936-04-10,10123,482,"['american_football_player', 'american_football_coach']",,us,200000000,True,87.0,1.93
denzel washington,male,1954-12-28,10124,484,"['actor', 'film_producer', 'film_director', 'spokesperson', 'voice_actor']",,us,250000000,True,69.0,1.85
david yates,male,1963-11-30,10125,487,"['film_producer', 'television_producer', 'film_director', 'television_director']",,gb,22000000,True,60.0,
ken loach,male,1936-06-17,10126,489,"['film_director', 'television_director', 'screenwriter', 'television_producer']",,gb,5000000,True,87.0,
scott derrickson,male,,10127,493,"['film_director', 'screenwriter', 'film_producer']",,us,8000000,,,
robert zemeckis,male,1952-05-14,10128,495,"['film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer', 'pilot']",,us,60000000,True,71.0,1.83
tom ford,male,1961-08-27,10129,496,"['fashion_designer', 'film_director', 'screenwriter', 'designer', 'actor', 'film_producer']",,us,500000000,True,62.0,1.83
mel gibson,male,1956-01-03,10130,499,"['actor', 'screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'voice_actor']",,us,425000000,True,68.0,1.77
jim jarmusch,male,1953-01-22,10131,503,"['film_director', 'film_producer', 'screenwriter', 'actor', 'film_editor', 'cinematographer', 'film_score_composer']",,us,5000000,True,71.0,1.88
denis villeneuve,male,1967-10-03,10132,506,"['film_director', 'screenwriter']",,ca,16000000,True,56.0,
ang lee,male,1954-10-23,10133,509,"['film_director', 'film_producer', 'screenwriter']",,us,32000000,True,69.0,1.75
wang leehom,male,1976-05-17,10134,509,"['singer-songwriter', 'model', 'musician', 'record_producer', 'actor', 'composer', 'film_director', 'music_arranger']",,us,100000000,True,47.0,1.78
ewan mcgregor,male,1971-03-31,10135,511,"['actor', 'screenwriter', 'television_producer', 'singer', 'voice_actor']",,gb,25000000,True,52.0,1.79
mike mitchell,,,10136,514,,,,12000000,,,
edward zwick,male,1952-10-08,10137,518,"['businessperson', 'film_director', 'screenwriter', 'film_producer', 'actor', 'television_producer', 'television_director']",,us,20000000,True,71.0,1.7
ron howard,male,1954-03-01,10138,525,"['actor', 'film_producer', 'film_director', 'television_producer', 'screenwriter', 'voice_actor', 'television_director']",,us,200000000,True,70.0,1.75
noel clarke,male,1975-12-06,10139,528,"['screenwriter', 'film_producer', 'actor', 'film_director']",,gb,3000000,True,48.0,1.75
peter bergman,male,1953-06-11,10140,529,['actor'],,us,10000000,True,70.0,
peter berg,male,1962-03-11,10141,529,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer']",,us,40000000,True,62.0,1.85
martin kemp,male,1961-10-10,10142,530,"['actor', 'bassist', 'musician', 'singer-songwriter', 'presenter', 'film_producer', 'film_director']",,gb,4000000,True,62.0,1.83
nate parker,male,1979-11-18,10143,532,"['actor', 'film_producer', 'musician', 'coach']",,us,3000000,True,44.0,1.75
tati westbrook,,,10144,538,,,,12000000,,,
ricky gervais,male,1961-06-25,10145,542,"['author', 'comedian', 'actor', 'television_director', 'television_producer', 'screenwriter', 'writer', 'film_director', 'film_producer', 'disc_jockey']",,gb,140000000,True,62.0,1.73
oliver stone,male,1946-09-15,10146,543,"['screenwriter', 'film_producer', 'film_director', 'actor', 'television_producer', 'cinematographer', 'film_editor', 'author', 'television_director', 'soldier']",,us,70000000,True,77.0,1.83
john krasinski,male,1979-10-20,10147,545,"['actor', 'television_producer', 'television_director', 'voice_actor', 'film_producer', 'film_director', 'screenwriter']",,us,80000000,True,44.0,1.91
antoine fuqua,male,1966-01-19,10148,546,"['film_director', 'film_producer', 'music_video_director']",,us,25000000,True,58.0,
werner herzog,male,1942-09-05,10149,547,"['film_director', 'screenwriter', 'film_producer', 'actor', 'opera_director', 'television_director', 'voice_actor', 'film_editor', 'author']",,de,20000000,True,81.0,1.85
tim burton,male,1958-08-25,10150,548,"['film_producer', 'film_director', 'screenwriter', 'artist', 'animator', 'television_producer', 'actor', 'television_director', 'poet', 'visual_artist']",,us,100000000,True,65.0,1.82
clint eastwood,male,1930-05-31,10151,549,"['actor', 'film_director', 'film_producer', 'politician', 'composer', 'pianist', 'film_score_composer', 'television_producer', 'businessperson', 'investor']",,us,375000000,True,93.0,1.93
david ayer,male,1968-01-18,10152,554,"['screenwriter', 'film_director', 'film_producer', 'actor']",,us,20000000,True,56.0,1.89
rob reiner,male,1947-03-06,10153,556,"['film_director', 'actor', 'film_producer', 'screenwriter', 'activist']",,us,200000000,True,77.0,1.88
mike birbiglia,male,1978-06-20,10154,557,"['comedian', 'screenwriter', 'actor', 'film_director']",,us,4000000,True,45.0,
michael damian,male,1962-04-26,10155,561,"['actor', 'film_director', 'film_producer', 'screenwriter', 'musician']",,us,3000000,True,61.0,1.82
paul greengrass,male,1955-08-13,10156,562,"['screenwriter', 'film_director', 'television_producer', 'journalist', 'television_director', 'film_producer']",,gb,20000000,True,68.0,
steven spielberg,male,1946-12-18,10157,565,"['film_producer', 'film_director', 'screenwriter', 'entrepreneur', 'television_producer', 'actor', 'film_editor', 'television_director', 'businessperson']",,us,7000000000,True,77.0,1.72
todd phillips,male,1970-12-20,10158,572,"['film_director', 'screenwriter', 'film_producer', 'actor']",,us,200000000,True,53.0,1.83
andrew stanton,male,1965-12-03,10159,579,"['film_director', 'film_producer', 'screenwriter', 'voice_actor']",,us,40000000,True,58.0,
bruce beresford-redman,male,,10160,581,['television_producer'],,us,400000,,,
justin lin,male,,10161,585,"['film_director', 'film_producer', 'screenwriter', 'television_producer', 'film_editor', 'television_director', 'cinematographer']",,us,50000000,,,
matt ross,male,1970-01-03,10162,588,"['actor', 'film_director', 'screenwriter']",,us,6000000,True,54.0,1.83
taika waititi,male,1975-08-16,10163,601,"['film_director', 'screenwriter', 'comedian', 'actor', 'photographer']",,nz,3000000,True,48.0,
david yates,male,1963-11-30,10164,605,"['film_producer', 'television_producer', 'film_director', 'television_director']",,gb,22000000,True,60.0,
keira knightley,female,1985-03-26,10165,607,"['actor', 'model', 'voice_actor']",,gb,80000000,True,38.0,1.7
nicolas winding refn,male,1970-09-29,10166,608,"['film_director', 'screenwriter', 'film_producer', 'television_producer', 'actor']",,dk,10000000,True,53.0,
noah baumbach,male,1969-09-03,10167,609,"['screenwriter', 'film_director', 'actor', 'film_producer']",,us,16000000,True,54.0,1.75
ben jones,male,1941-08-30,10168,615,"['politician', 'actor', 'businessperson', 'playwright', 'essayist']",,us,500000,True,82.0,
gary rossington,male,1951-12-04,10169,616,['guitarist'],,us,40000000,True,72.0,
gary ross,male,1956-11-03,10170,616,"['screenwriter', 'film_director', 'actor', 'film_producer', 'writer']",,us,10000000,True,67.0,
rawson marshall thurber,male,1975-02-09,10171,617,"['film_director', 'actor', 'screenwriter', 'film_producer']",,us,5000000,True,49.0,
woody allen,male,1935-12-01,10172,619,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",,us,140000000,True,88.0,1.65
duncan jones,male,1971-05-30,10173,620,"['film_director', 'screenwriter', 'film_producer']",,gb,50000000,True,52.0,
bryan singer,male,1965-09-17,10174,621,"['television_producer', 'film_producer', 'film_director', 'screenwriter', 'actor']",,us,100000000,True,58.0,1.78
jay roach,male,1957-06-14,10175,622,"['film_director', 'film_producer', 'screenwriter', 'cinematographer']",,us,100000000,True,66.0,1.84
akiva schaffer,male,1977-12-01,10176,628,"['film_director', 'actor', 'musician', 'songwriter', 'film_editor', 'television_producer', 'screenwriter', 'television_director', 'tv_editor', 'film_producer']",,us,7000000,True,46.0,
stephen frears,male,1941-06-20,10177,630,"['film_director', 'film_producer', 'actor', 'television_director', 'television_producer']",,gb,10000000,True,82.0,1.7
anthony russo,male,1970,10178,633,"['television_director', 'television_producer']",,us,20000000,,,
james wan,male,1977-02-26,10179,634,"['film_director', 'film_producer', 'screenwriter', 'film_editor']",,my,70000000,True,47.0,1.68
gus van sant,male,1952-07-24,10180,635,"['film_director', 'screenwriter', 'film_producer', 'film_editor', 'painter', 'photographer', 'musician', 'author', 'television_producer', 'actor']",,us,50000000,True,71.0,1.75
matt brown,,,10181,646,,,,1000000,,,
jodie foster,female,1962-11-19,10182,649,"['actor', 'musician', 'film_director', 'film_producer', 'voice_actor', 'television_director']",,us,100000000,True,61.0,1.61
shane black,male,1961-12-16,10183,652,"['actor', 'screenwriter', 'film_director', 'film_producer']",,us,16000000,True,62.0,
jon favreau,male,1966-10-19,10184,653,"['actor', 'film_producer', 'comedian', 'television_director', 'film_director', 'voice_actor', 'screenwriter', 'television_producer']",,us,100000000,True,57.0,1.83
guillermo del toro,male,1964-10-09,10185,660,"['film_director', 'screenwriter', 'film_producer', 'actor', 'novelist', 'television_director', 'television_producer', 'voice_actor']",,mx,30000000,True,59.0,1.78
rick famuyiwa,male,1973-06-18,10186,666,"['screenwriter', 'film_director']",,us,1500000,True,50.0,1.93
woody allen,male,1935-12-01,10187,672,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",,us,140000000,True,88.0,1.65
james cameron,male,1954-08-16,10188,674,"['film_director', 'film_producer', 'screenwriter', 'inventor', 'actor', 'film_editor', 'explorer', 'environmentalist', 'television_producer']",,ca,700000000,True,69.0,1.87
robert carlyle,male,1961-04-14,10189,675,['actor'],,gb,10000000,True,62.0,1.73
don cheadle,male,1964-11-29,10190,685,"['actor', 'film_producer', 'television_producer', 'author', 'voice_actor', 'film_director', 'screenwriter']",,us,35000000,True,59.0,1.73
zack snyder,male,1966-03-01,10191,686,"['film_director', 'film_producer', 'screenwriter']",,us,60000000,True,58.0,1.7
tom hooper,male,1972-10-01,10192,687,"['film_director', 'television_director', 'film_producer', 'screenwriter']",,au,20000000,True,51.0,
richard linklater,male,1960-07-30,10193,689,"['film_director', 'screenwriter', 'film_producer', 'actor', 'television_producer', 'television_director', 'cinematographer']",,us,12000000,True,63.0,1.75
renny harlin,male,1959-03-15,10194,690,"['film_director', 'actor', 'film_producer', 'television_director', 'screenwriter', 'cinematographer']",,fi,10000000,True,65.0,1.93
woody allen,male,1935-12-01,10195,693,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",,us,140000000,True,88.0,1.65
kenny ortega,male,1950-04-18,10196,694,"['film_producer', 'television_director', 'choreographer', 'actor', 'television_producer', 'film_director']",,us,14000000,True,73.0,
kirk jones,male,1973-11-03,10197,698,"['actor', 'rapper', 'film_director', 'film_producer', 'screenwriter', 'voice_actor', 'film_score_composer']",,us,1000000,True,50.0,1.77
tim blake nelson,male,1964-05-11,10198,700,"['film_director', 'actor', 'screenwriter', 'playwright', 'film_producer', 'singer']",,us,5000000,True,59.0,1.65
leigh whannell,male,1977-01-17,10199,709,"['screenwriter', 'actor', 'film_producer', 'voice_actor']",,au,55000000,True,47.0,1.7
gavin hood,male,1963-05-12,10200,712,"['actor', 'screenwriter', 'film_director', 'television_producer']",,za,25000000,True,60.0,
kirk jones,male,1973-11-03,10201,717,"['actor', 'rapper', 'film_director', 'film_producer', 'screenwriter', 'voice_actor', 'film_score_composer']",,us,1000000,True,50.0,1.77
dexter fletcher,male,1966-01-31,10202,718,"['actor', 'film_director', 'screenwriter']",,gb,6000000,True,58.0,1.68
spike lee,male,1957-03-20,10203,720,"['screenwriter', 'actor', 'film_director', 'film_producer', 'television_director', 'television_producer', 'film_editor', 'teacher']",,us,50000000,True,67.0,1.68
