name,gender,birthday,occupation,age,height,death,nationality,net_worth,is_alive
gerard butler,male,1969-11-13,"['actor', 'film_producer']",54,1.88,,gb,40000000,True
pablo schreiber,male,1978-04-26,['actor'],45,1.96,,us,4000000,True
david krumholtz,male,1978-05-15,"['actor', 'film_producer']",45,1.68,,us,8000000,True
jenna fischer,female,1974-03-07,"['actor', 'television_producer', 'film_director']",50,1.64,,us,16000000,True
jamie lee curtis,female,1958-11-22,"['actor', 'writer', 'author', 'voice_actor']",65,1.7,,us,60000000,True
lindsay lohan,female,1986-07-02,"['actor', 'singer', 'entrepreneur', 'model', 'fashion_designer', 'singer-songwriter', 'designer', 'music_artist', 'film_producer', 'television_producer']",37,1.65,,us,800000,True
al pacino,male,1940-04-25,"['actor', 'film_director', 'film_producer', 'theatre_director']",83,1.7,,us,120000000,True
kathy baker,female,1950-06-08,['actor'],73,1.68,,us,2000000,True
paul rodriguez jr,male,1984-12-31,"['skateboarder', 'entrepreneur', 'actor']",39,1.74,,us,6000000,True
"sammy davis, jr.",male,1925-12-08,"['singer', 'dancer', 'actor', 'musician', 'entertainer']",64,1.65,1990-05-16,us,5000000,False
"eduardo cojuangco, jr.",male,1935-06-10,['businessperson'],88,,,ph,1400000000,True
robert ashenoff jr.,male,,['actor'],,,,,300000,
"ricardo medina, jr.",male,1977-07-02,,46,,,us,30000,True
ernie brown jr,,,,,,,,150000,
donald trump jr.,male,1977-12-31,['businessperson'],46,1.85,,us,300000000,True
"robert f. kennedy, jr.",male,1954-01-17,"['lawyer', 'writer', 'author', 'presenter', 'activist']",70,,,us,50000000,True
"richard yuengling, jr.",,,,,,,,1670000000,
robert coyiuto jr,,,,,,,,1700000000,
"nelson frazier, jr.",male,1971-02-14,"['wrestler', 'actor']",43,2.05,2014-02-18,us,2000000,False
cuba gooding jr,male,1968-01-02,"['actor', 'voice_actor', 'film_producer']",56,1.78,,us,14000000,True
"miguel a. nunez, jr.",male,1964-08-11,"['actor', 'film_producer', 'television_producer', 'screenwriter']",59,,,us,1000000,True
"herbert allen, jr.",male,1940,['businessperson'],,,,us,2500000000,
robert downey jr,male,1965-04-04,"['actor', 'film_producer', 'screenwriter', 'singer-songwriter', 'comedian']",58,1.74,,us,300000000,True
lillo brancato jr,male,1976-03-30,['actor'],47,,,us,10000,True
"tyrone power, jr.",male,1959-01-22,['actor'],65,,,us,3000000,True
ross bagdasarian jr,male,1949-10-25,"['record_producer', 'actor', 'film_producer', 'voice_actor', 'television_producer', 'screenwriter', 'singer']",74,,,us,15000000,True
galen weston jr,male,1972-12-19,['businessperson'],51,,,ca,7600000000,True
al unser jr,male,1962-04-19,['race_car_driver'],61,,,us,20000000,True
cisco rosado jr,,,,,,,,3000000,
"henry louis gates, jr.",male,1950-09-16,"['historian', 'essayist', 'author', 'writer', 'editor', 'literary_critic', 'university_professor', 'documentary_filmmaker']",73,,,us,1000000,True
palmer williams jr,,,,,,,,400000,
desi arnaz jr,male,1953-01-19,"['musician', 'actor', 'drummer']",71,1.8,,us,40000000,True
"mike dunleavy, jr.",male,1980-09-15,['basketball_player'],43,2.06,,us,30000000,True
"ted ginn, jr.",male,1985-04-12,['american_football_player'],38,1.8,,us,13000000,True
"isiah whitlock, jr.",male,1954-09-13,['actor'],69,1.83,,us,92000000,True
"gary matthews, jr.",male,1974-08-25,['baseball_player'],49,,,us,25000000,True
"jim gallagher, jr.",male,1961-03-24,['golfer'],62,1.83,,us,10000000,True
harold ford jr,male,1970-05-11,['politician'],53,1.8,,us,3000000,True
meryl streep,female,1949-06-22,"['actor', 'voice_actor', 'spokesperson']",74,1.68,,us,160000000,True
sarah paulson,female,1974-12-17,['actor'],49,1.68,,us,12000000,True
tom hanks,male,1956-07-09,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']",67,1.83,,us,400000000,True
joaquin phoenix,male,1974-10-28,"['actor', 'film_producer', 'television_producer', 'musician', 'music_video_director', 'social_activist']",49,1.73,,us,50000000,True
heather graham,female,1970-01-29,"['actor', 'television_producer', 'fashion_model', 'writer', 'activist']",54,1.73,,us,25000000,True
wyatt nash,,,,,,,,2000000,
alice cooper,male,1948-02-04,"['singer', 'actor', 'disc_jockey', 'singer-songwriter', 'guitarist', 'musician', 'film_score_composer']",76,1.77,,us,50000000,True
sara bareilles,female,1979-12-07,"['musician', 'singer-songwriter', 'pianist', 'actor']",44,1.65,,us,16000000,True
annette bening,female,1958-05-29,"['actor', 'voice_actor']",65,1.69,,us,70000000,True
michael gambon,male,1940-10-19,"['actor', 'engineer', 'voice_actor']",83,1.83,,ie,15000000,True
brittney powell,female,1972-03-04,['actor'],52,,,de,100000,True
vernon wells,male,1978-12-08,['baseball_player'],45,1.85,,us,75000000,True
edie falco,female,1963-07-05,['actor'],60,1.65,,us,40000000,True
kaitlyn dever,female,1996-12-21,['actor'],27,,,us,3000000,True
dan bailey,male,1986-09-09,['track_and_field_athlete'],37,1.79,,ag,6000000,True
rich froning,,1987-07-21,,36,1.75,,,5000000,True
kirsten dunst,female,1982-04-30,"['actor', 'singer', 'model', 'voice_actor']",41,1.7,,us,25000000,True
orlando bloom,male,1977-01-13,['actor'],47,1.8,,gb,40000000,True
susan sarandon,female,1946-10-04,"['actor', 'voice_actor', 'activist', 'film_producer']",77,1.7,,us,60000000,True
anne hathaway,female,1982-11-12,"['actor', 'voice_actor']",41,1.73,,us,60000000,True
christopher gorham,male,1974-08-14,"['actor', 'film_director', 'screenwriter', 'television_director', 'voice_actor']",49,1.82,,us,5000000,True
chris hemsworth,male,1983-08-11,['actor'],40,1.9,,au,130000000,True
michael shannon,male,1974-08-07,"['actor', 'musician']",49,1.9,,us,8000000,True
liam neeson,male,1952-06-07,"['actor', 'voice_actor']",71,1.93,,us,145000000,True
vera farmiga,female,1973-08-06,"['actor', 'film_director']",50,1.65,,us,10000000,True
anna faris,female,1976-11-29,"['actor', 'singer', 'voice_actor']",47,1.65,,us,30000000,True
jeremy sisto,male,1974-10-06,"['actor', 'voice_actor', 'film_producer', 'screenwriter']",49,1.87,,us,6000000,True
ambyr childers,female,1988-07-18,['actor'],35,,,us,5000000,True
isabelle huppert,female,1953-03-16,['actor'],71,1.6,,fr,40000000,True
ariel winter,female,1998-01-28,"['actor', 'singer', 'voice_actor']",26,1.63,,us,12000000,True
burt reynolds,male,1936-02-11,"['film_producer', 'film_director', 'actor', 'voice_actor', 'television_director', 'television_producer', 'screenwriter']",82,1.8,2018-09-06,us,3000000,False
clark duke,male,1985-05-05,"['actor', 'voice_actor']",38,1.66,,us,4000000,True
david lynch,male,1946-01-20,"['film_director', 'film_producer', 'actor', 'screenwriter', 'film_editor', 'painter', 'musician', 'television_producer', 'television_director', 'film_score_composer']",78,1.8,,us,60000000,True
harry dean stanton,male,1926-07-14,"['actor', 'musician', 'singer', 'voice_actor', 'guitarist']",91,1.73,2017-09-15,us,10000000,False
ron livingston,male,1967-06-05,"['actor', 'voice_actor']",56,1.79,,us,5000000,True
idris elba,male,1972-09-06,"['actor', 'television_producer', 'singer', 'rapper', 'disc_jockey', 'film_producer']",51,1.9,,gb,30000000,True
jessica chastain,female,1977-03-24,"['actor', 'film_producer']",46,1.63,,us,40000000,True
kevin costner,male,1955-01-18,"['actor', 'film_producer', 'film_director', 'television_producer', 'singer', 'musician', 'businessperson', 'model']",69,1.85,,us,250000000,True
daniel bruhl,male,1978-06-16,['actor'],45,1.76,,de,4000000,True
tadanobu asano,male,1973-11-27,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",50,1.79,,jp,10000000,True
anupam kher,male,1955-03-07,"['actor', 'film_producer', 'film_director']",69,1.8,,in,70000000,True
anthony anderson,male,1970-08-15,"['comedian', 'actor', 'television_producer', 'voice_actor', 'screenwriter']",53,1.78,,us,25000000,True
john hawkes,male,1959-09-11,"['actor', 'musician']",64,1.78,,us,4000000,True
octavia spencer,female,1970-05-25,"['actor', 'film_producer', 'film_director', 'screenwriter']",53,1.57,,us,14000000,True
tadanobu asano,male,1973-11-27,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",50,1.79,,jp,10000000,True
christopher plummer,male,1929-12-13,"['voice_actor', 'actor']",94,1.79,,ca,20000000,True
mark wahlberg,male,1971-06-05,"['film_producer', 'actor', 'model', 'musician', 'rapper', 'television_producer', 'singer', 'film_score_composer', 'songwriter']",52,1.73,,us,300000000,True
michelle williams (destiny's child),female,1979-07-23,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",44,1.75,,us,10000000,True
michelle williams,female,1980-09-09,['actor'],43,1.63,,us,30000000,True
andy lau,male,1961-09-27,"['singer', 'actor', 'film_producer', 'presenter', 'songwriter', 'voice_actor']",62,1.75,,hk,70000000,True
donnie yen,male,1963-07-27,"['film_director', 'actor', 'film_producer', 'martial_artist', 'screenwriter', 'performer', 'action_director']",60,1.73,,us,40000000,True
zoe saldana,female,1978-06-19,"['actor', 'voice_actor', 'film_producer']",45,1.7,,us,35000000,True
mahershala ali,male,1974-02-16,"['actor', 'rapper']",50,1.87,,us,8000000,True
nia long,female,1970-10-30,"['actor', 'music_video_director', 'dancer', 'voice_actor']",53,1.57,,us,6000000,True
annette bening,female,1958-05-29,"['actor', 'voice_actor']",65,1.69,,us,70000000,True
jamie bell,male,1986-03-14,"['actor', 'dancer']",38,1.7,,gb,11000000,True
dakota fanning,female,1994-02-23,"['actor', 'voice_actor']",30,1.63,,us,12000000,True
diane lane,female,1965-01-22,['actor'],59,1.7,,us,40000000,True
elizabeth banks,female,1974-02-10,"['actor', 'film_director', 'film_producer', 'voice_actor']",50,1.65,,us,50000000,True
bruce dern,male,1936-06-04,"['actor', 'voice_actor']",87,1.83,,us,12000000,True
jeffrey donovan,male,1968-05-11,"['actor', 'television_producer', 'television_director']",55,1.83,,us,10000000,True
samantha mathis,female,1970-05-12,['actor'],53,1.65,,us,4000000,True
lily rabe,female,1982-06-29,['actor'],41,,,us,2000000,True
rachel boston,female,1982-05-09,['actor'],41,1.75,,us,4000000,True
hugh jackman,male,1968-10-12,"['actor', 'film_producer', 'television_producer', 'voice_actor', 'presenter', 'singer', 'dancer']",55,1.88,,au,180000000,True
michelle williams (destiny's child),female,1979-07-23,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",44,1.75,,us,10000000,True
michelle williams,female,1980-09-09,['actor'],43,1.63,,us,30000000,True
bill cobbs,male,1934-06-16,"['actor', 'technician']",89,,,us,4000000,True
joaquim de almeida,male,1957-03-15,"['actor', 'voice_actor']",67,1.72,,us,10000000,True
zak bagans,male,1977-04-05,"['television_producer', 'television_director', 'television_editor', 'writer']",46,1.82,,us,30000000,True
damon albarn,male,1968-03-23,"['singer', 'singer-songwriter', 'musician', 'record_producer', 'keyboard_player', 'actor', 'composer', 'songwriter', 'multi-instrumentalist']",55,1.83,,gb,40000000,True
julianne moore,female,1960-12-03,"['actor', 'author', 'film_producer', 'television_producer', 'theatrical_producer', ""children's_book_author""]",63,1.6,,us,50000000,True
michelle williams (destiny's child),female,1979-07-23,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",44,1.75,,us,10000000,True
michelle williams,female,1980-09-09,['actor'],43,1.63,,us,30000000,True
aaron kwok,male,1965-10-26,"['actor', 'singer', 'dancer']",58,1.72,,hk,20000000,True
jesse eisenberg,male,1983-10-05,"['actor', 'voice_actor', 'playwright']",40,1.71,,us,10000000,True
penelope cruz,female,1974-04-28,"['actor', 'businessperson', 'model', 'singer', 'designer', 'film_producer']",49,1.68,,es,75000000,True
woody allen,male,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",88,1.65,,us,140000000,True
holly hunter,female,1958-03-20,"['actor', 'voice_actor', 'television_producer']",66,1.57,,us,14000000,True
maggie gyllenhaal,female,1977-11-16,['actor'],46,1.75,,us,15000000,True
viola davis,female,1965-08-11,"['actor', 'film_producer']",58,1.65,,us,25000000,True
chris young,male,1985-06-12,['singer-songwriter'],38,1.93,,us,4000000,True
jaymes young,,,,,,,,3000000,
renee young,,,,,,,,2000000,
neil young,male,1945-11-12,"['musician', 'songwriter', 'film_director', 'actor', 'film_producer', 'film_score_composer', 'screenwriter', 'record_producer', 'activist']",78,1.82,,ca,80000000,True
young noble,male,1978-03-21,['rapper'],45,,,,2000000,True
young jeezy,male,1977-09-28,"['actor', 'rapper', 'businessperson']",46,1.75,,us,10000000,True
ace young,male,1980-11-15,['singer'],43,1.85,,us,1000000,True
scot young,,,,,,,,10000000,
youri djorkaeff,male,1968-03-09,['football_player'],56,1.79,,fr,30000000,True
john lloyd young,male,1975-07-04,"['actor', 'singer']",48,,,us,4000000,True
ashley young,male,1985-07-09,['soccer_player'],38,1.75,,gb,9000000,True
bryant young,male,1972-01-27,"['american_football_player', 'coach']",52,1.91,,us,40000000,True
james young,male,1949-11-14,"['singer', 'songwriter', 'musician', 'guitarist', 'actor']",74,,,us,20000000,True
yousef erakat,,,,,,,,4000000,
brian young,male,1977-07-08,['american_football_player'],46,1.88,,us,7000000,True
michael young,male,1976-10-19,['baseball_player'],47,1.85,,us,40000000,True
young thug,male,1991-08-09,['rapper'],32,,,us,8000000,True
zac young,,,,,,,,4000000,
ko so young,female,1972-10-06,"['actor', 'model']",51,1.67,,kr,12000000,True
young m.a,,,,,,,,2000000,
kevin youkilis,male,1979-03-15,['baseball_player'],45,1.85,,us,24000000,True
robin yount,male,1955-09-16,['baseball_player'],68,,,us,9000000,True
lee thompson young,male,1984-02-01,"['actor', 'screenwriter']",29,1.72,2013-08-19,us,250000,False
john paul young,male,1950-06-21,['singer'],73,,,gb,20000000,True
sammy younai,,,,,,,,10000000,
alan young,male,1919-11-19,"['actor', 'voice_actor']",104,1.78,,gb,5000000,True
je'caryous johnson,,,,,,,,3000000,
lee young-ae,female,1971-01-31,"['actor', 'model']",53,1.65,,kr,40000000,True
lee na-young,female,1979-02-22,['actor'],45,1.65,,kr,18000000,True
brett young,,,,,,,,3000000,
jennifer jason leigh,female,1962-02-05,"['actor', 'voice_actor', 'film_producer', 'screenwriter']",62,1.6,,us,5000000,True
natalie portman,female,1981-06-09,"['actor', 'model', 'film_producer', 'film_director', 'screenwriter']",42,1.6,,il,90000000,True
tessa thompson,female,1983-10-03,['actor'],40,1.62,,us,4000000,True
fares fares,male,1973-04-29,['actor'],50,1.86,,lb,4000000,True
daisy ridley,female,,['actor'],,1.7,,gb,9000000,
john boyega,male,1992-03-17,['actor'],32,,,gb,6000000,True
mark hamill,male,1951-09-25,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']",72,1.75,,us,18000000,True
john lloyd cruz,male,1983-06-24,"['actor', 'model', 'presenter']",40,1.78,,ph,6000000,True
jared leto,male,1971-12-26,"['actor', 'musician', 'singer-songwriter', 'composer', 'film_producer', 'photographer', 'painter', 'businessperson', 'film_director', 'philanthropist']",52,1.75,,us,90000000,True
tadanobu asano,male,1973-11-27,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",50,1.79,,jp,10000000,True
james arnold taylor,male,1969-07-22,['voice_actor'],54,1.62,,us,2000000,True
kate micucci,female,1980-03-31,"['actor', 'comedian', 'composer']",43,1.57,,us,500000,True
anna kendrick,female,1985-08-09,"['actor', 'singer', 'voice_actor']",38,1.57,,us,20000000,True
rebel wilson,female,1986-02-03,"['actor', 'stand-up_comedian', 'screenwriter', 'spokesperson', 'voice_actor', 'entrepreneur', 'television_producer', 'comedian']",38,1.59,,au,22000000,True
elle fanning,female,1998-04-09,"['actor', 'voice_actor']",25,1.72,,us,6000000,True
janina gavankar,female,1980-11-29,"['actor', 'musician', 'singer']",43,1.7,,us,500000,True
michelle monaghan,female,1976-03-23,"['actor', 'fashion_model', 'film_producer']",47,1.7,,us,16000000,True
the rock dwayne johnson,male,1972-05-02,"['wrestler', 'american_football_player', 'actor', 'television_producer', 'author', 'athlete', 'film_producer', 'voice_actor']",51,1.96,,us,320000000,True
karen gillan,female,1987-11-28,"['actor', 'model']",36,1.8,,gb,2000000,True
ariadna gil,female,1969-01-23,['actor'],55,,,es,8000000,True
ivana baquero,female,1994-06-11,['actor'],29,,,es,500000,True
charlton heston,male,1923-10-04,"['actor', 'film_director', 'political_activist', 'voice_actor']",84,1.91,2008-04-05,us,40000000,False
marilyn manson,male,1969-01-05,"['actor', 'artist', 'musician', 'singer-songwriter', 'film_score_composer', 'film_director', 'writer', 'singer', 'poet', 'composer']",55,1.85,,us,10000000,True
michael moore,male,1954-04-23,"['film_director', 'film_producer', 'screenwriter', 'writer', 'actor', 'critic', 'presenter']",69,1.82,,us,30000000,True
ben whishaw,male,1980-10-14,['actor'],43,1.75,,gb,2000000,True
hugh grant,male,1960-09-09,"['actor', 'film_producer', 'voice_actor']",63,1.8,,gb,150000000,True
tony bennett,male,1926-08-03,"['singer', 'artist', 'musician', 'actor', 'painter', 'writer', 'visual_artist', 'music_artist']",97,1.71,,us,200000000,True
eddie marsan,male,1968-06-09,['actor'],55,1.74,,gb,800000,True
joanne froggatt,female,1980-08-21,['actor'],43,1.57,,gb,2000000,True
colin morgan,male,1986-01-01,['actor'],38,1.83,,gb,4000000,True
colm meaney,male,1953-05-30,['actor'],70,1.8,,ie,10000000,True
brendan gleeson,male,1955-03-29,"['actor', 'teacher', 'voice_actor']",68,1.88,,ie,4000000,True
xavier dolan,male,1989-03-20,"['screenwriter', 'film_director', 'actor', 'film_producer', 'film_editor', 'voice_actor']",35,1.69,,ca,4000000,True
allison janney,female,1959-11-19,"['actor', 'voice_actor', 'musician']",64,1.83,,us,14000000,True
margot robbie,female,1990-07-02,['actor'],33,1.68,,au,26000000,True
sebastian stan,male,1982-08-13,['actor'],41,1.83,,ro,4000000,True
melissa leo,female,1960-09-14,['actor'],63,,,us,9000000,True
octavia spencer,female,1970-05-25,"['actor', 'film_producer', 'film_director', 'screenwriter']",53,1.57,,us,14000000,True
sally hawkins,female,1976-04-27,['actor'],47,,,gb,4000000,True
john cena,male,1977-04-23,"['wrestler', 'singer', 'actor', 'rapper', 'musician', 'bodybuilder']",46,1.85,,us,60000000,True
kate mckinnon,female,1984-01-06,"['comedian', 'actor']",40,,,us,9000000,True
jason schwartzman,male,1980-06-26,"['actor', 'drummer', 'musician', 'film_score_composer', 'voice_actor', 'songwriter', 'film_producer']",43,1.68,,us,25000000,True
lena dunham,female,1986-05-13,"['actor', 'television_director', 'film_director', 'screenwriter', 'television_producer', 'comedian']",37,1.6,,us,12000000,True
reggie watts,male,1972-03-23,"['comedian', 'singer', 'musician', 'actor', 'screenwriter', 'film_score_composer']",51,1.83,,us,2000000,True
georgia groome,female,1992-02-11,['actor'],32,1.6,,gb,3000000,True
arnold schwarzenegger,male,1947-07-30,"['actor', 'bodybuilder', 'politician', 'entrepreneur', 'businessperson', 'investor', 'film_producer', 'television_director', 'writer']",76,1.88,,us,400000000,True
kai greene,male,1975-07-12,['bodybuilder'],48,1.73,,us,1000000,True
dominic west,male,1969-10-15,"['actor', 'voice_actor', 'television_director']",54,1.83,,gb,14000000,True
elisabeth moss,female,1982-07-24,"['actor', 'voice_actor']",41,1.6,,us,30000000,True
greg kinnear,male,1963-06-17,"['actor', 'screenwriter', 'television_producer', 'voice_actor', 'tv_personality']",60,1.76,,us,20000000,True
renee zellweger,female,1969-04-25,"['actor', 'voice_actor', 'film_producer', 'television_producer', 'singer']",54,1.63,,us,90000000,True
juno temple,female,1989-07-21,['actor'],34,1.57,,gb,1000000,True
justin timberlake,male,1981-01-31,"['actor', 'record_producer', 'musician', 'businessperson', 'dancer', 'singer', 'television_producer', 'singer-songwriter', 'film_producer', 'voice_actor']",43,1.82,,us,250000000,True
dave franco,male,1985-06-12,"['actor', 'screenwriter', 'film_producer', 'musician']",38,1.7,,us,10000000,True
james franco,male,1978-04-19,"['actor', 'author', 'film_director', 'screenwriter', 'film_producer', 'teacher', 'model', 'film_editor', 'poet']",45,1.8,,us,30000000,True
dan stevens,male,1982-10-10,['actor'],41,1.83,,gb,4000000,True
gilbert gottfried,male,1955-02-28,"['comedian', 'actor', 'voice_actor']",69,1.65,,us,8000000,True
vernon forrest,,,,,,,,3000000,
vernon davis,male,1984-01-31,['american_football_player'],40,1.91,,us,16000000,True
shannon lee,female,1969-04-19,"['presenter', 'actor', 'film_producer', 'businessperson', 'television_producer']",54,1.75,,us,10000000,True
vernon reid,male,1958-08-22,"['guitarist', 'songwriter', 'musician', 'record_producer', 'film_score_composer', 'composer']",65,,,us,5000000,True
vernon macklin,male,1986-09-25,,37,2.08,,us,500000,True
ted vernon,male,,,,,,,15000000,
don cannon,,,,,,,,10000000,
shannon bex,female,1980-03-22,"['singer', 'model', 'dancer']",43,1.62,,us,1000000,True
michael shannon,male,1974-08-07,"['actor', 'musician']",49,1.9,,us,8000000,True
julian lennon,male,1963-04-08,"['singer', 'musician', 'writer', 'singer-songwriter', 'record_producer', 'guitarist', 'actor', 'film_score_composer']",60,,,gb,50000000,True
shannon tweed,female,1957-03-10,"['model', 'actor']",67,1.78,,ca,50000000,True
phillip buchanon,male,1980-09-19,['american_football_player'],43,1.8,,us,3000000,True
shannon elizabeth,female,1973-09-07,"['actor', 'fashion_model', 'film_producer', 'professional_poker_player']",50,1.75,,us,7000000,True
nona gaye,female,1974-09-04,"['singer', 'actor', 'model', 'musician', 'film_score_composer']",49,1.78,,us,3000000,True
terry gannon,male,1963-11-01,,60,,,us,3000000,True
shannon woodward,female,1984-12-17,"['actor', 'singer', 'writer', 'guitarist']",39,1.6,,us,3000000,True
ed o'bannon,male,1972-08-14,['basketball_player'],51,,,us,100000,True
mike vernon,,,,,,,,11000000,
nonito donaire,male,1982-11-16,['professional_boxer'],41,1.68,,us,5000000,True
scott shannon,male,1947,,,,,us,2000000,
liz mcclarnon,female,1981-04-10,"['singer', 'presenter', 'dancer']",42,1.67,,gb,10000000,True
cynthia lennon,female,1939-09-10,"['artist', 'visual_artist']",75,1.6,2015-04-01,gb,6000000,False
vernon maxwell,male,1965-09-12,['basketball_player'],58,,,us,4000000,True
frank hannon,male,1966-10-03,"['guitarist', 'songwriter', 'musician', 'singer']",57,,,,4000000,True
dyan cannon,female,1937-01-04,"['actor', 'film_director', 'screenwriter', 'singer-songwriter', 'film_producer', 'film_editor']",87,1.65,,us,16000000,True
shannon larkin,male,1967-04-24,"['drummer', 'musician']",56,,,us,13000000,True
justin vernon (bon iver),male,1981-04-30,"['singer', 'songwriter', 'record_producer', 'multi-instrumentalist']",42,1.91,,us,8000000,True
karissa shannon,,,,,,,,200000,
pierre-luc gagnon,male,1980-05-02,['skateboarder'],43,1.77,,ca,6000000,True
shannon briggs,male,1971-12-04,"['professional_boxer', 'actor']",52,1.93,,us,10000000,True
steve buscemi,male,1957-12-13,"['actor', 'film_producer', 'television_director', 'film_director', 'screenwriter', 'voice_actor', 'firefighter']",66,1.75,,us,35000000,True
dave bautista,male,1969-01-18,"['wrestler', 'actor', 'mixed_martial_artist', 'bodybuilder', 'lifeguard']",55,1.98,,us,16000000,True
thomas kretschmann,male,1962-09-08,"['actor', 'voice_actor', 'swimmer']",61,1.76,,de,8000000,True
benedict wong,male,1970,"['actor', 'comedian', 'voice_actor']",,,,gb,3000000,
jared leto,male,1971-12-26,"['actor', 'musician', 'singer-songwriter', 'composer', 'film_producer', 'photographer', 'painter', 'businessperson', 'film_director', 'philanthropist']",52,1.75,,us,90000000,True
farhan akhtar,male,1974-09-01,"['film_director', 'screenwriter', 'film_producer', 'lyricist', 'actor', 'presenter', 'writer']",49,1.7,,in,2500000,True
todd fisher,male,,"['television_producer', 'writer', 'film_producer', 'actor']",,,,us,15000000,
chris rock,male,1965-02-07,"['comedian', 'screenwriter', 'actor', 'film_director', 'film_producer', 'television_producer', 'voice_actor', 'presenter']",59,1.78,,us,60000000,True
john cho,male,1972-06-16,"['actor', 'musician', 'singer', 'voice_actor']",51,1.78,,kr,20000000,True
parker posey,female,1968-11-08,"['actor', 'singer']",55,1.64,,us,10000000,True
armie hammer,male,1986-08-28,['actor'],37,1.96,,us,16000000,True
timothee chalamet,,,,,,,,6000000,
willem dafoe,male,1955-07-22,"['actor', 'voice_actor', 'model']",68,1.78,,us,40000000,True
jennifer jason leigh,female,1962-02-05,"['actor', 'voice_actor', 'film_producer', 'screenwriter']",62,1.6,,us,5000000,True
robert pattinson,male,1986-05-13,"['model', 'musician', 'actor', 'film_producer']",37,1.85,,gb,100000000,True
danny huston,male,1962-05-14,"['actor', 'film_director', 'television_director']",61,1.88,,us,3000000,True
nicholas hoult,male,1989-12-07,"['actor', 'model', 'voice_actor']",34,1.9,,gb,8000000,True
frances mcdormand,female,1957-06-23,"['actor', 'singer', 'voice_actor']",66,1.65,,us,30000000,True
sam rockwell,male,1968-11-05,['actor'],55,1.75,,us,30000000,True
woody harrelson,male,1961-07-23,"['actor', 'businessperson', 'television_producer']",62,1.78,,us,70000000,True
katrina kaif,female,1984-07-16,"['model', 'actor']",39,1.74,,gb,30000000,True
ranbir kapoor,male,1982-09-28,['actor'],41,1.83,,in,50000000,True
carey mulligan,female,1985-05-28,"['actor', 'singer']",38,1.7,,gb,16000000,True
jonathan banks,male,1947-01-31,['actor'],77,,,us,5000000,True
armie hammer,male,1986-08-28,['actor'],37,1.96,,us,16000000,True
geoffrey rush,male,1951-07-06,"['actor', 'film_producer', 'voice_actor', 'film_score_composer', 'musician']",72,1.83,,au,40000000,True
tony shalhoub,male,1953-10-09,"['actor', 'television_producer', 'film_producer', 'voice_actor']",70,1.77,,us,30000000,True
