height,is_alive,nationality,net_worth,birthday,occupation,gender,name,age,death
,True,us,50000000,1954-01-17,"['lawyer', 'writer', 'author', 'presenter', 'activist']",male,"robert f. kennedy, jr.",70,
,,,1670000000,,,,"richard yuengling, jr.",,
,,,1700000000,,,,robert coyiuto jr,,
2.05,False,us,2000000,1971-02-14,"['wrestler', 'actor']",male,"nelson frazier, jr.",43,2014-02-18
1.78,True,us,14000000,1968-01-02,"['actor', 'voice_actor', 'film_producer']",male,cuba gooding jr,56,
,True,us,1000000,1964-08-11,"['actor', 'film_producer', 'television_producer', 'screenwriter']",male,"miguel a. nunez, jr.",59,
,,us,2500000000,1940,['businessperson'],male,"herbert allen, jr.",,
1.74,True,us,300000000,1965-04-04,"['actor', 'film_producer', 'screenwriter', 'singer-songwriter', 'comedian']",male,robert downey jr,58,
,True,us,10000,1976-03-30,['actor'],male,lillo brancato jr,47,
,True,us,3000000,1959-01-22,['actor'],male,"tyrone power, jr.",65,
,True,us,15000000,1949-10-25,"['record_producer', 'actor', 'film_producer', 'voice_actor', 'television_producer', 'screenwriter', 'singer']",male,ross bagdasarian jr,74,
,True,ca,7600000000,1972-12-19,['businessperson'],male,galen weston jr,51,
,True,us,20000000,1962-04-19,['race_car_driver'],male,al unser jr,61,
,,,3000000,,,,cisco rosado jr,,
,True,us,1000000,1950-09-16,"['historian', 'essayist', 'author', 'writer', 'editor', 'literary_critic', 'university_professor', 'documentary_filmmaker']",male,"henry louis gates, jr.",73,
,,,400000,,,,palmer williams jr,,
1.8,True,us,40000000,1953-01-19,"['musician', 'actor', 'drummer']",male,desi arnaz jr,71,
2.06,True,us,30000000,1980-09-15,['basketball_player'],male,"mike dunleavy, jr.",43,
1.8,True,us,13000000,1985-04-12,['american_football_player'],male,"ted ginn, jr.",38,
1.83,True,us,92000000,1954-09-13,['actor'],male,"isiah whitlock, jr.",69,
,True,us,25000000,1974-08-25,['baseball_player'],male,"gary matthews, jr.",49,
1.83,True,us,10000000,1961-03-24,['golfer'],male,"jim gallagher, jr.",62,
1.8,True,us,3000000,1970-05-11,['politician'],male,harold ford jr,53,
1.68,True,us,160000000,1949-06-22,"['actor', 'voice_actor', 'spokesperson']",female,meryl streep,74,
1.68,True,us,12000000,1974-12-17,['actor'],female,sarah paulson,49,
1.83,True,us,400000000,1956-07-09,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']",male,tom hanks,67,
1.73,True,us,50000000,1974-10-28,"['actor', 'film_producer', 'television_producer', 'musician', 'music_video_director', 'social_activist']",male,joaquin phoenix,49,
1.73,True,us,25000000,1970-01-29,"['actor', 'television_producer', 'fashion_model', 'writer', 'activist']",female,heather graham,54,
,,,2000000,,,,wyatt nash,,
1.77,True,us,50000000,1948-02-04,"['singer', 'actor', 'disc_jockey', 'singer-songwriter', 'guitarist', 'musician', 'film_score_composer']",male,alice cooper,76,
1.65,True,us,16000000,1979-12-07,"['musician', 'singer-songwriter', 'pianist', 'actor']",female,sara bareilles,44,
1.69,True,us,70000000,1958-05-29,"['actor', 'voice_actor']",female,annette bening,65,
1.83,True,ie,15000000,1940-10-19,"['actor', 'engineer', 'voice_actor']",male,michael gambon,83,
,True,de,100000,1972-03-04,['actor'],female,brittney powell,52,
1.85,True,us,75000000,1978-12-08,['baseball_player'],male,vernon wells,45,
1.65,True,us,40000000,1963-07-05,['actor'],female,edie falco,60,
,True,us,3000000,1996-12-21,['actor'],female,kaitlyn dever,27,
1.79,True,ag,6000000,1986-09-09,['track_and_field_athlete'],male,dan bailey,37,
1.75,True,,5000000,1987-07-21,,,rich froning,36,
1.7,True,us,25000000,1982-04-30,"['actor', 'singer', 'model', 'voice_actor']",female,kirsten dunst,41,
1.8,True,gb,40000000,1977-01-13,['actor'],male,orlando bloom,47,
1.7,True,us,60000000,1946-10-04,"['actor', 'voice_actor', 'activist', 'film_producer']",female,susan sarandon,77,
1.73,True,us,60000000,1982-11-12,"['actor', 'voice_actor']",female,anne hathaway,41,
1.82,True,us,5000000,1974-08-14,"['actor', 'film_director', 'screenwriter', 'television_director', 'voice_actor']",male,christopher gorham,49,
1.9,True,au,130000000,1983-08-11,['actor'],male,chris hemsworth,40,
1.9,True,us,8000000,1974-08-07,"['actor', 'musician']",male,michael shannon,49,
1.93,True,us,145000000,1952-06-07,"['actor', 'voice_actor']",male,liam neeson,71,
1.65,True,us,10000000,1973-08-06,"['actor', 'film_director']",female,vera farmiga,50,
1.65,True,us,30000000,1976-11-29,"['actor', 'singer', 'voice_actor']",female,anna faris,47,
1.87,True,us,6000000,1974-10-06,"['actor', 'voice_actor', 'film_producer', 'screenwriter']",male,jeremy sisto,49,
,True,us,5000000,1988-07-18,['actor'],female,ambyr childers,35,
1.6,True,fr,40000000,1953-03-16,['actor'],female,isabelle huppert,71,
1.63,True,us,12000000,1998-01-28,"['actor', 'singer', 'voice_actor']",female,ariel winter,26,
1.8,False,us,3000000,1936-02-11,"['film_producer', 'film_director', 'actor', 'voice_actor', 'television_director', 'television_producer', 'screenwriter']",male,burt reynolds,82,2018-09-06
1.66,True,us,4000000,1985-05-05,"['actor', 'voice_actor']",male,clark duke,38,
1.8,True,us,60000000,1946-01-20,"['film_director', 'film_producer', 'actor', 'screenwriter', 'film_editor', 'painter', 'musician', 'television_producer', 'television_director', 'film_score_composer']",male,david lynch,78,
1.73,False,us,10000000,1926-07-14,"['actor', 'musician', 'singer', 'voice_actor', 'guitarist']",male,harry dean stanton,91,2017-09-15
1.79,True,us,5000000,1967-06-05,"['actor', 'voice_actor']",male,ron livingston,56,
1.9,True,gb,30000000,1972-09-06,"['actor', 'television_producer', 'singer', 'rapper', 'disc_jockey', 'film_producer']",male,idris elba,51,
1.63,True,us,40000000,1977-03-24,"['actor', 'film_producer']",female,jessica chastain,46,
1.85,True,us,250000000,1955-01-18,"['actor', 'film_producer', 'film_director', 'television_producer', 'singer', 'musician', 'businessperson', 'model']",male,kevin costner,69,
1.76,True,de,4000000,1978-06-16,['actor'],male,daniel bruhl,45,
1.79,True,jp,10000000,1973-11-27,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",male,tadanobu asano,50,
1.8,True,in,70000000,1955-03-07,"['actor', 'film_producer', 'film_director']",male,anupam kher,69,
1.78,True,us,25000000,1970-08-15,"['comedian', 'actor', 'television_producer', 'voice_actor', 'screenwriter']",male,anthony anderson,53,
1.78,True,us,4000000,1959-09-11,"['actor', 'musician']",male,john hawkes,64,
1.57,True,us,14000000,1970-05-25,"['actor', 'film_producer', 'film_director', 'screenwriter']",female,octavia spencer,53,
1.79,True,jp,10000000,1973-11-27,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",male,tadanobu asano,50,
1.79,True,ca,20000000,1929-12-13,"['voice_actor', 'actor']",male,christopher plummer,94,
1.73,True,us,300000000,1971-06-05,"['film_producer', 'actor', 'model', 'musician', 'rapper', 'television_producer', 'singer', 'film_score_composer', 'songwriter']",male,mark wahlberg,52,
1.75,True,us,10000000,1979-07-23,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",female,michelle williams (destiny's child),44,
1.63,True,us,30000000,1980-09-09,['actor'],female,michelle williams,43,
1.75,True,hk,70000000,1961-09-27,"['singer', 'actor', 'film_producer', 'presenter', 'songwriter', 'voice_actor']",male,andy lau,62,
1.73,True,us,40000000,1963-07-27,"['film_director', 'actor', 'film_producer', 'martial_artist', 'screenwriter', 'performer', 'action_director']",male,donnie yen,60,
1.7,True,us,35000000,1978-06-19,"['actor', 'voice_actor', 'film_producer']",female,zoe saldana,45,
1.87,True,us,8000000,1974-02-16,"['actor', 'rapper']",male,mahershala ali,50,
1.57,True,us,6000000,1970-10-30,"['actor', 'music_video_director', 'dancer', 'voice_actor']",female,nia long,53,
1.69,True,us,70000000,1958-05-29,"['actor', 'voice_actor']",female,annette bening,65,
1.7,True,gb,11000000,1986-03-14,"['actor', 'dancer']",male,jamie bell,38,
1.63,True,us,12000000,1994-02-23,"['actor', 'voice_actor']",female,dakota fanning,30,
1.7,True,us,40000000,1965-01-22,['actor'],female,diane lane,59,
1.65,True,us,50000000,1974-02-10,"['actor', 'film_director', 'film_producer', 'voice_actor']",female,elizabeth banks,50,
1.83,True,us,12000000,1936-06-04,"['actor', 'voice_actor']",male,bruce dern,87,
1.83,True,us,10000000,1968-05-11,"['actor', 'television_producer', 'television_director']",male,jeffrey donovan,55,
1.65,True,us,4000000,1970-05-12,['actor'],female,samantha mathis,53,
,True,us,2000000,1982-06-29,['actor'],female,lily rabe,41,
1.75,True,us,4000000,1982-05-09,['actor'],female,rachel boston,41,
1.88,True,au,180000000,1968-10-12,"['actor', 'film_producer', 'television_producer', 'voice_actor', 'presenter', 'singer', 'dancer']",male,hugh jackman,55,
1.75,True,us,10000000,1979-07-23,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",female,michelle williams (destiny's child),44,
1.63,True,us,30000000,1980-09-09,['actor'],female,michelle williams,43,
,True,us,4000000,1934-06-16,"['actor', 'technician']",male,bill cobbs,89,
1.72,True,us,10000000,1957-03-15,"['actor', 'voice_actor']",male,joaquim de almeida,67,
1.82,True,us,30000000,1977-04-05,"['television_producer', 'television_director', 'television_editor', 'writer']",male,zak bagans,46,
1.83,True,gb,40000000,1968-03-23,"['singer', 'singer-songwriter', 'musician', 'record_producer', 'keyboard_player', 'actor', 'composer', 'songwriter', 'multi-instrumentalist']",male,damon albarn,55,
1.6,True,us,50000000,1960-12-03,"['actor', 'author', 'film_producer', 'television_producer', 'theatrical_producer', ""children's_book_author""]",female,julianne moore,63,
1.75,True,us,10000000,1979-07-23,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",female,michelle williams (destiny's child),44,
1.63,True,us,30000000,1980-09-09,['actor'],female,michelle williams,43,
1.72,True,hk,20000000,1965-10-26,"['actor', 'singer', 'dancer']",male,aaron kwok,58,
1.71,True,us,10000000,1983-10-05,"['actor', 'voice_actor', 'playwright']",male,jesse eisenberg,40,
1.68,True,es,75000000,1974-04-28,"['actor', 'businessperson', 'model', 'singer', 'designer', 'film_producer']",female,penelope cruz,49,
1.65,True,us,140000000,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",male,woody allen,88,
1.57,True,us,14000000,1958-03-20,"['actor', 'voice_actor', 'television_producer']",female,holly hunter,66,
1.75,True,us,15000000,1977-11-16,['actor'],female,maggie gyllenhaal,46,
1.65,True,us,25000000,1965-08-11,"['actor', 'film_producer']",female,viola davis,58,
1.93,True,us,4000000,1985-06-12,['singer-songwriter'],male,chris young,38,
,,,3000000,,,,jaymes young,,
,,,2000000,,,,renee young,,
1.82,True,ca,80000000,1945-11-12,"['musician', 'songwriter', 'film_director', 'actor', 'film_producer', 'film_score_composer', 'screenwriter', 'record_producer', 'activist']",male,neil young,78,
,True,,2000000,1978-03-21,['rapper'],male,young noble,45,
1.75,True,us,10000000,1977-09-28,"['actor', 'rapper', 'businessperson']",male,young jeezy,46,
1.85,True,us,1000000,1980-11-15,['singer'],male,ace young,43,
,,,10000000,,,,scot young,,
1.79,True,fr,30000000,1968-03-09,['football_player'],male,youri djorkaeff,56,
,True,us,4000000,1975-07-04,"['actor', 'singer']",male,john lloyd young,48,
1.75,True,gb,9000000,1985-07-09,['soccer_player'],male,ashley young,38,
1.91,True,us,40000000,1972-01-27,"['american_football_player', 'coach']",male,bryant young,52,
,True,us,20000000,1949-11-14,"['singer', 'songwriter', 'musician', 'guitarist', 'actor']",male,james young,74,
,,,4000000,,,,yousef erakat,,
1.88,True,us,7000000,1977-07-08,['american_football_player'],male,brian young,46,
1.85,True,us,40000000,1976-10-19,['baseball_player'],male,michael young,47,
,True,us,8000000,1991-08-09,['rapper'],male,young thug,32,
,,,4000000,,,,zac young,,
1.67,True,kr,12000000,1972-10-06,"['actor', 'model']",female,ko so young,51,
,,,2000000,,,,young m.a,,
1.85,True,us,24000000,1979-03-15,['baseball_player'],male,kevin youkilis,45,
,True,us,9000000,1955-09-16,['baseball_player'],male,robin yount,68,
1.72,False,us,250000,1984-02-01,"['actor', 'screenwriter']",male,lee thompson young,29,2013-08-19
,True,gb,20000000,1950-06-21,['singer'],male,john paul young,73,
,,,10000000,,,,sammy younai,,
1.78,True,gb,5000000,1919-11-19,"['actor', 'voice_actor']",male,alan young,104,
,,,3000000,,,,je'caryous johnson,,
1.65,True,kr,40000000,1971-01-31,"['actor', 'model']",female,lee young-ae,53,
1.65,True,kr,18000000,1979-02-22,['actor'],female,lee na-young,45,
,,,3000000,,,,brett young,,
1.6,True,us,5000000,1962-02-05,"['actor', 'voice_actor', 'film_producer', 'screenwriter']",female,jennifer jason leigh,62,
1.6,True,il,90000000,1981-06-09,"['actor', 'model', 'film_producer', 'film_director', 'screenwriter']",female,natalie portman,42,
1.62,True,us,4000000,1983-10-03,['actor'],female,tessa thompson,40,
1.86,True,lb,4000000,1973-04-29,['actor'],male,fares fares,50,
1.7,,gb,9000000,,['actor'],female,daisy ridley,,
,True,gb,6000000,1992-03-17,['actor'],male,john boyega,32,
1.75,True,us,18000000,1951-09-25,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']",male,mark hamill,72,
1.78,True,ph,6000000,1983-06-24,"['actor', 'model', 'presenter']",male,john lloyd cruz,40,
1.75,True,us,90000000,1971-12-26,"['actor', 'musician', 'singer-songwriter', 'composer', 'film_producer', 'photographer', 'painter', 'businessperson', 'film_director', 'philanthropist']",male,jared leto,52,
1.79,True,jp,10000000,1973-11-27,"['actor', 'musician', 'film_director', 'singer', 'film_score_composer']",male,tadanobu asano,50,
1.62,True,us,2000000,1969-07-22,['voice_actor'],male,james arnold taylor,54,
1.57,True,us,500000,1980-03-31,"['actor', 'comedian', 'composer']",female,kate micucci,43,
1.57,True,us,20000000,1985-08-09,"['actor', 'singer', 'voice_actor']",female,anna kendrick,38,
1.59,True,au,22000000,1986-02-03,"['actor', 'stand-up_comedian', 'screenwriter', 'spokesperson', 'voice_actor', 'entrepreneur', 'television_producer', 'comedian']",female,rebel wilson,38,
1.72,True,us,6000000,1998-04-09,"['actor', 'voice_actor']",female,elle fanning,25,
1.7,True,us,500000,1980-11-29,"['actor', 'musician', 'singer']",female,janina gavankar,43,
1.7,True,us,16000000,1976-03-23,"['actor', 'fashion_model', 'film_producer']",female,michelle monaghan,47,
1.96,True,us,320000000,1972-05-02,"['wrestler', 'american_football_player', 'actor', 'television_producer', 'author', 'athlete', 'film_producer', 'voice_actor']",male,the rock dwayne johnson,51,
1.8,True,gb,2000000,1987-11-28,"['actor', 'model']",female,karen gillan,36,
,True,es,8000000,1969-01-23,['actor'],female,ariadna gil,55,
,True,es,500000,1994-06-11,['actor'],female,ivana baquero,29,
1.91,False,us,40000000,1923-10-04,"['actor', 'film_director', 'political_activist', 'voice_actor']",male,charlton heston,84,2008-04-05
1.85,True,us,10000000,1969-01-05,"['actor', 'artist', 'musician', 'singer-songwriter', 'film_score_composer', 'film_director', 'writer', 'singer', 'poet', 'composer']",male,marilyn manson,55,
1.82,True,us,30000000,1954-04-23,"['film_director', 'film_producer', 'screenwriter', 'writer', 'actor', 'critic', 'presenter']",male,michael moore,69,
1.75,True,gb,2000000,1980-10-14,['actor'],male,ben whishaw,43,
1.8,True,gb,150000000,1960-09-09,"['actor', 'film_producer', 'voice_actor']",male,hugh grant,63,
1.71,True,us,200000000,1926-08-03,"['singer', 'artist', 'musician', 'actor', 'painter', 'writer', 'visual_artist', 'music_artist']",male,tony bennett,97,
1.74,True,gb,800000,1968-06-09,['actor'],male,eddie marsan,55,
1.57,True,gb,2000000,1980-08-21,['actor'],female,joanne froggatt,43,
1.83,True,gb,4000000,1986-01-01,['actor'],male,colin morgan,38,
1.8,True,ie,10000000,1953-05-30,['actor'],male,colm meaney,70,
1.88,True,ie,4000000,1955-03-29,"['actor', 'teacher', 'voice_actor']",male,brendan gleeson,68,
1.69,True,ca,4000000,1989-03-20,"['screenwriter', 'film_director', 'actor', 'film_producer', 'film_editor', 'voice_actor']",male,xavier dolan,35,
1.83,True,us,14000000,1959-11-19,"['actor', 'voice_actor', 'musician']",female,allison janney,64,
1.68,True,au,26000000,1990-07-02,['actor'],female,margot robbie,33,
1.83,True,ro,4000000,1982-08-13,['actor'],male,sebastian stan,41,
,True,us,9000000,1960-09-14,['actor'],female,melissa leo,63,
1.57,True,us,14000000,1970-05-25,"['actor', 'film_producer', 'film_director', 'screenwriter']",female,octavia spencer,53,
,True,gb,4000000,1976-04-27,['actor'],female,sally hawkins,47,
1.85,True,us,60000000,1977-04-23,"['wrestler', 'singer', 'actor', 'rapper', 'musician', 'bodybuilder']",male,john cena,46,
,True,us,9000000,1984-01-06,"['comedian', 'actor']",female,kate mckinnon,40,
1.68,True,us,25000000,1980-06-26,"['actor', 'drummer', 'musician', 'film_score_composer', 'voice_actor', 'songwriter', 'film_producer']",male,jason schwartzman,43,
1.6,True,us,12000000,1986-05-13,"['actor', 'television_director', 'film_director', 'screenwriter', 'television_producer', 'comedian']",female,lena dunham,37,
1.83,True,us,2000000,1972-03-23,"['comedian', 'singer', 'musician', 'actor', 'screenwriter', 'film_score_composer']",male,reggie watts,51,
1.6,True,gb,3000000,1992-02-11,['actor'],female,georgia groome,32,
1.88,True,us,400000000,1947-07-30,"['actor', 'bodybuilder', 'politician', 'entrepreneur', 'businessperson', 'investor', 'film_producer', 'television_director', 'writer']",male,arnold schwarzenegger,76,
1.73,True,us,1000000,1975-07-12,['bodybuilder'],male,kai greene,48,
1.83,True,gb,14000000,1969-10-15,"['actor', 'voice_actor', 'television_director']",male,dominic west,54,
1.6,True,us,30000000,1982-07-24,"['actor', 'voice_actor']",female,elisabeth moss,41,
1.76,True,us,20000000,1963-06-17,"['actor', 'screenwriter', 'television_producer', 'voice_actor', 'tv_personality']",male,greg kinnear,60,
1.63,True,us,90000000,1969-04-25,"['actor', 'voice_actor', 'film_producer', 'television_producer', 'singer']",female,renee zellweger,54,
1.57,True,gb,1000000,1989-07-21,['actor'],female,juno temple,34,
1.82,True,us,250000000,1981-01-31,"['actor', 'record_producer', 'musician', 'businessperson', 'dancer', 'singer', 'television_producer', 'singer-songwriter', 'film_producer', 'voice_actor']",male,justin timberlake,43,
1.7,True,us,10000000,1985-06-12,"['actor', 'screenwriter', 'film_producer', 'musician']",male,dave franco,38,
1.8,True,us,30000000,1978-04-19,"['actor', 'author', 'film_director', 'screenwriter', 'film_producer', 'teacher', 'model', 'film_editor', 'poet']",male,james franco,45,
1.83,True,gb,4000000,1982-10-10,['actor'],male,dan stevens,41,
1.65,True,us,8000000,1955-02-28,"['comedian', 'actor', 'voice_actor']",male,gilbert gottfried,69,
,,,3000000,,,,vernon forrest,,
1.91,True,us,16000000,1984-01-31,['american_football_player'],male,vernon davis,40,
1.75,True,us,10000000,1969-04-19,"['presenter', 'actor', 'film_producer', 'businessperson', 'television_producer']",female,shannon lee,54,
,True,us,5000000,1958-08-22,"['guitarist', 'songwriter', 'musician', 'record_producer', 'film_score_composer', 'composer']",male,vernon reid,65,
2.08,True,us,500000,1986-09-25,,male,vernon macklin,37,
,,,15000000,,,male,ted vernon,,
,,,10000000,,,,don cannon,,
1.62,True,us,1000000,1980-03-22,"['singer', 'model', 'dancer']",female,shannon bex,43,
1.9,True,us,8000000,1974-08-07,"['actor', 'musician']",male,michael shannon,49,
,True,gb,50000000,1963-04-08,"['singer', 'musician', 'writer', 'singer-songwriter', 'record_producer', 'guitarist', 'actor', 'film_score_composer']",male,julian lennon,60,
1.78,True,ca,50000000,1957-03-10,"['model', 'actor']",female,shannon tweed,67,
1.8,True,us,3000000,1980-09-19,['american_football_player'],male,phillip buchanon,43,
1.75,True,us,7000000,1973-09-07,"['actor', 'fashion_model', 'film_producer', 'professional_poker_player']",female,shannon elizabeth,50,
1.78,True,us,3000000,1974-09-04,"['singer', 'actor', 'model', 'musician', 'film_score_composer']",female,nona gaye,49,
,True,us,3000000,1963-11-01,,male,terry gannon,60,
1.6,True,us,3000000,1984-12-17,"['actor', 'singer', 'writer', 'guitarist']",female,shannon woodward,39,
,True,us,100000,1972-08-14,['basketball_player'],male,ed o'bannon,51,
,,,11000000,,,,mike vernon,,
1.68,True,us,5000000,1982-11-16,['professional_boxer'],male,nonito donaire,41,
,,us,2000000,1947,,male,scott shannon,,
1.67,True,gb,10000000,1981-04-10,"['singer', 'presenter', 'dancer']",female,liz mcclarnon,42,
1.6,False,gb,6000000,1939-09-10,"['artist', 'visual_artist']",female,cynthia lennon,75,2015-04-01
,True,us,4000000,1965-09-12,['basketball_player'],male,vernon maxwell,58,
,True,,4000000,1966-10-03,"['guitarist', 'songwriter', 'musician', 'singer']",male,frank hannon,57,
1.65,True,us,16000000,1937-01-04,"['actor', 'film_director', 'screenwriter', 'singer-songwriter', 'film_producer', 'film_editor']",female,dyan cannon,87,
,True,us,13000000,1967-04-24,"['drummer', 'musician']",male,shannon larkin,56,
1.91,True,us,8000000,1981-04-30,"['singer', 'songwriter', 'record_producer', 'multi-instrumentalist']",male,justin vernon (bon iver),42,
,,,200000,,,,karissa shannon,,
1.77,True,ca,6000000,1980-05-02,['skateboarder'],male,pierre-luc gagnon,43,
1.93,True,us,10000000,1971-12-04,"['professional_boxer', 'actor']",male,shannon briggs,52,
1.75,True,us,35000000,1957-12-13,"['actor', 'film_producer', 'television_director', 'film_director', 'screenwriter', 'voice_actor', 'firefighter']",male,steve buscemi,66,
1.98,True,us,16000000,1969-01-18,"['wrestler', 'actor', 'mixed_martial_artist', 'bodybuilder', 'lifeguard']",male,dave bautista,55,
1.76,True,de,8000000,1962-09-08,"['actor', 'voice_actor', 'swimmer']",male,thomas kretschmann,61,
,,gb,3000000,1970,"['actor', 'comedian', 'voice_actor']",male,benedict wong,,
1.75,True,us,90000000,1971-12-26,"['actor', 'musician', 'singer-songwriter', 'composer', 'film_producer', 'photographer', 'painter', 'businessperson', 'film_director', 'philanthropist']",male,jared leto,52,
1.7,True,in,2500000,1974-09-01,"['film_director', 'screenwriter', 'film_producer', 'lyricist', 'actor', 'presenter', 'writer']",male,farhan akhtar,49,
,,us,15000000,,"['television_producer', 'writer', 'film_producer', 'actor']",male,todd fisher,,
1.78,True,us,60000000,1965-02-07,"['comedian', 'screenwriter', 'actor', 'film_director', 'film_producer', 'television_producer', 'voice_actor', 'presenter']",male,chris rock,59,
1.78,True,kr,20000000,1972-06-16,"['actor', 'musician', 'singer', 'voice_actor']",male,john cho,51,
1.64,True,us,10000000,1968-11-08,"['actor', 'singer']",female,parker posey,55,
1.96,True,us,16000000,1986-08-28,['actor'],male,armie hammer,37,
,,,6000000,,,,timothee chalamet,,
1.78,True,us,40000000,1955-07-22,"['actor', 'voice_actor', 'model']",male,willem dafoe,68,
1.6,True,us,5000000,1962-02-05,"['actor', 'voice_actor', 'film_producer', 'screenwriter']",female,jennifer jason leigh,62,
1.85,True,gb,100000000,1986-05-13,"['model', 'musician', 'actor', 'film_producer']",male,robert pattinson,37,
1.88,True,us,3000000,1962-05-14,"['actor', 'film_director', 'television_director']",male,danny huston,61,
1.9,True,gb,8000000,1989-12-07,"['actor', 'model', 'voice_actor']",male,nicholas hoult,34,
1.65,True,us,30000000,1957-06-23,"['actor', 'singer', 'voice_actor']",female,frances mcdormand,66,
1.75,True,us,30000000,1968-11-05,['actor'],male,sam rockwell,55,
1.78,True,us,70000000,1961-07-23,"['actor', 'businessperson', 'television_producer']",male,woody harrelson,62,
1.74,True,gb,30000000,1984-07-16,"['model', 'actor']",female,katrina kaif,39,
1.83,True,in,50000000,1982-09-28,['actor'],male,ranbir kapoor,41,
1.7,True,gb,16000000,1985-05-28,"['actor', 'singer']",female,carey mulligan,38,
,True,us,5000000,1947-01-31,['actor'],male,jonathan banks,77,
1.96,True,us,16000000,1986-08-28,['actor'],male,armie hammer,37,
1.83,True,au,40000000,1951-07-06,"['actor', 'film_producer', 'voice_actor', 'film_score_composer', 'musician']",male,geoffrey rush,72,
1.77,True,us,30000000,1953-10-09,"['actor', 'television_producer', 'film_producer', 'voice_actor']",male,tony shalhoub,70,
