name,gender,birthday,actorID,age,height,death,nationality,net_worth,is_alive,id,occupation
michael moore,male,1954-04-23,10081,69.0,1.82,,us,30000000,True,123,"['film_director', 'film_producer', 'screenwriter', 'writer', 'actor', 'critic', 'presenter']"
hugh grant,male,1960-09-09,10082,63.0,1.8,,gb,150000000,True,124,"['actor', 'film_producer', 'voice_actor']"
tony bennett,male,1926-08-03,10083,97.0,1.71,,us,200000000,True,126,"['singer', 'artist', 'musician', 'actor', 'painter', 'writer', 'visual_artist', 'music_artist']"
xavier dolan,male,1989-03-20,10084,35.0,1.69,,ca,4000000,True,137,"['screenwriter', 'film_director', 'actor', 'film_producer', 'film_editor', 'voice_actor']"
sebastian stan,male,1982-08-13,10085,41.0,1.83,,ro,4000000,True,138,['actor']
melissa leo,female,1960-09-14,10086,63.0,,,us,9000000,True,141,['actor']
sally hawkins,female,1976-04-27,10087,47.0,,,gb,4000000,True,143,['actor']
kate mckinnon,female,1984-01-06,10088,40.0,,,us,9000000,True,144,"['comedian', 'actor']"
reggie watts,male,1972-03-23,10089,51.0,1.83,,us,2000000,True,146,"['comedian', 'singer', 'musician', 'actor', 'screenwriter', 'film_score_composer']"
elisabeth moss,female,1982-07-24,10090,41.0,1.6,,us,30000000,True,151,"['actor', 'voice_actor']"
renee zellweger,female,1969-04-25,10091,54.0,1.63,,us,90000000,True,154,"['actor', 'voice_actor', 'film_producer', 'television_producer', 'singer']"
justin timberlake,male,1981-01-31,10092,43.0,1.82,,us,250000000,True,157,"['actor', 'record_producer', 'musician', 'businessperson', 'dancer', 'singer', 'television_producer', 'singer-songwriter', 'film_producer', 'voice_actor']"
james franco,male,1978-04-19,10093,45.0,1.8,,us,30000000,True,158,"['actor', 'author', 'film_director', 'screenwriter', 'film_producer', 'teacher', 'model', 'film_editor', 'poet']"
vernon forrest,,,10094,,,,,3000000,,167,
vernon davis,male,1984-01-31,10095,40.0,1.91,,us,16000000,True,167,['american_football_player']
shannon lee,female,1969-04-19,10096,54.0,1.75,,us,10000000,True,167,"['presenter', 'actor', 'film_producer', 'businessperson', 'television_producer']"
vernon reid,male,1958-08-22,10097,65.0,,,us,5000000,True,167,"['guitarist', 'songwriter', 'musician', 'record_producer', 'film_score_composer', 'composer']"
vernon macklin,male,1986-09-25,10098,37.0,2.08,,us,500000,True,167,
ted vernon,male,,10099,,,,,15000000,,167,
don cannon,,,10100,,,,,10000000,,167,
shannon bex,female,1980-03-22,10101,43.0,1.62,,us,1000000,True,167,"['singer', 'model', 'dancer']"
michael shannon,male,1974-08-07,10102,49.0,1.9,,us,8000000,True,167,"['actor', 'musician']"
julian lennon,male,1963-04-08,10103,60.0,,,gb,50000000,True,167,"['singer', 'musician', 'writer', 'singer-songwriter', 'record_producer', 'guitarist', 'actor', 'film_score_composer']"
shannon tweed,female,1957-03-10,10104,67.0,1.78,,ca,50000000,True,167,"['model', 'actor']"
phillip buchanon,male,1980-09-19,10105,43.0,1.8,,us,3000000,True,167,['american_football_player']
shannon elizabeth,female,1973-09-07,10106,50.0,1.75,,us,7000000,True,167,"['actor', 'fashion_model', 'film_producer', 'professional_poker_player']"
nona gaye,female,1974-09-04,10107,49.0,1.78,,us,3000000,True,167,"['singer', 'actor', 'model', 'musician', 'film_score_composer']"
terry gannon,male,1963-11-01,10108,60.0,,,us,3000000,True,167,
shannon woodward,female,1984-12-17,10109,39.0,1.6,,us,3000000,True,167,"['actor', 'singer', 'writer', 'guitarist']"
ed o'bannon,male,1972-08-14,10110,51.0,,,us,100000,True,167,['basketball_player']
mike vernon,,,10111,,,,,11000000,,167,
nonito donaire,male,1982-11-16,10112,41.0,1.68,,us,5000000,True,167,['professional_boxer']
scott shannon,male,1947,10113,,,,us,2000000,,167,
liz mcclarnon,female,1981-04-10,10114,42.0,1.67,,gb,10000000,True,167,"['singer', 'presenter', 'dancer']"
cynthia lennon,female,1939-09-10,10115,75.0,1.6,2015-04-01,gb,6000000,False,167,"['artist', 'visual_artist']"
vernon maxwell,male,1965-09-12,10116,58.0,,,us,4000000,True,167,['basketball_player']
frank hannon,male,1966-10-03,10117,57.0,,,,4000000,True,167,"['guitarist', 'songwriter', 'musician', 'singer']"
dyan cannon,female,1937-01-04,10118,87.0,1.65,,us,16000000,True,167,"['actor', 'film_director', 'screenwriter', 'singer-songwriter', 'film_producer', 'film_editor']"
shannon larkin,male,1967-04-24,10119,56.0,,,us,13000000,True,167,"['drummer', 'musician']"
justin vernon (bon iver),male,1981-04-30,10120,42.0,1.91,,us,8000000,True,167,"['singer', 'songwriter', 'record_producer', 'multi-instrumentalist']"
karissa shannon,,,10121,,,,,200000,,167,
pierre-luc gagnon,male,1980-05-02,10122,43.0,1.77,,ca,6000000,True,167,['skateboarder']
shannon briggs,male,1971-12-04,10123,52.0,1.93,,us,10000000,True,167,"['professional_boxer', 'actor']"
steve buscemi,male,1957-12-13,10124,66.0,1.75,,us,35000000,True,170,"['actor', 'film_producer', 'television_director', 'film_director', 'screenwriter', 'voice_actor', 'firefighter']"
thomas kretschmann,male,1962-09-08,10125,61.0,1.76,,de,8000000,True,174,"['actor', 'voice_actor', 'swimmer']"
jared leto,male,1971-12-26,10126,52.0,1.75,,us,90000000,True,176,"['actor', 'musician', 'singer-songwriter', 'composer', 'film_producer', 'photographer', 'painter', 'businessperson', 'film_director', 'philanthropist']"
farhan akhtar,male,1974-09-01,10127,49.0,1.7,,in,2500000,True,177,"['film_director', 'screenwriter', 'film_producer', 'lyricist', 'actor', 'presenter', 'writer']"
todd fisher,male,,10128,,,,us,15000000,,178,"['television_producer', 'writer', 'film_producer', 'actor']"
chris rock,male,1965-02-07,10129,59.0,1.78,,us,60000000,True,180,"['comedian', 'screenwriter', 'actor', 'film_director', 'film_producer', 'television_producer', 'voice_actor', 'presenter']"
parker posey,female,1968-11-08,10130,55.0,1.64,,us,10000000,True,183,"['actor', 'singer']"
timothee chalamet,,,10131,,,,,6000000,,184,
willem dafoe,male,1955-07-22,10132,68.0,1.78,,us,40000000,True,185,"['actor', 'voice_actor', 'model']"
robert pattinson,male,1986-05-13,10133,37.0,1.85,,gb,100000000,True,188,"['model', 'musician', 'actor', 'film_producer']"
nicholas hoult,male,1989-12-07,10134,34.0,1.9,,gb,8000000,True,190,"['actor', 'model', 'voice_actor']"
woody harrelson,male,1961-07-23,10135,62.0,1.78,,us,70000000,True,192,"['actor', 'businessperson', 'television_producer']"
ranbir kapoor,male,1982-09-28,10136,41.0,1.83,,in,50000000,True,193,['actor']
jonathan banks,male,1947-01-31,10137,77.0,,,us,5000000,True,194,['actor']
tony shalhoub,male,1953-10-09,10138,70.0,1.77,,us,30000000,True,195,"['actor', 'television_producer', 'film_producer', 'voice_actor']"
"martin luther king, jr.",male,1929-01-15,10139,39.0,1.69,1968-04-04,us,250000,False,198,"['writer', 'civil_rights_activist', 'minister_of_religion']"
tracy letts,male,1965-07-04,10140,58.0,,,us,1000000,True,199,"['screenwriter', 'playwright', 'actor']"
gal gadot,female,1985-04-30,10141,38.0,1.78,,il,30000000,True,204,"['actor', 'model']"
jennifer carpenter,female,1979-12-07,10142,44.0,1.74,,us,8000000,True,209,"['actor', 'voice_actor']"
lily james,female,1989-04-05,10143,34.0,,,gb,4000000,True,210,['actor']
melanie griffith,female,1957-08-09,10144,66.0,1.75,,us,40000000,True,211,"['actor', 'model', 'voice_actor', 'film_producer']"
ross lynch,male,1995-12-29,10145,28.0,1.83,,us,5000000,True,216,"['actor', 'singer', 'dancer', 'musician']"
shelley hennig,female,1987-01-02,10146,37.0,1.72,,us,1000000,True,217,['actor']
logan huffman,male,1989-12-22,10147,34.0,,,us,150000,True,218,['actor']
rafe spall,male,1983-03-10,10148,41.0,,,gb,3000000,True,219,['actor']
scott adkins,male,1976-06-17,10149,47.0,1.78,,gb,2000000,True,220,"['actor', 'martial_artist', 'stunt_performer']"
gael garcia bernal,male,1978-11-30,10150,45.0,1.68,,mx,12000000,True,221,"['actor', 'film_producer', 'television_producer', 'film_director']"
willem dafoe,male,1955-07-22,10151,68.0,1.78,,us,40000000,True,222,"['actor', 'voice_actor', 'model']"
tom baker,male,1934-01-20,10152,90.0,1.91,,gb,10000000,True,223,"['actor', 'comedian']"
will ferrell,male,1967-07-16,10153,56.0,1.91,,us,160000000,True,225,"['actor', 'film_producer', 'screenwriter', 'comedian', 'television_producer', 'impressionist', 'voice_actor', 'singer']"
willem dafoe,male,1955-07-22,10154,68.0,1.78,,us,40000000,True,226,"['actor', 'voice_actor', 'model']"
miles teller,male,1987-02-20,10155,37.0,1.83,,us,10000000,True,227,['actor']
owen wilson,male,1968-11-18,10156,55.0,1.79,,us,70000000,True,229,"['actor', 'screenwriter', 'film_producer', 'voice_actor']"
denzel washington,male,1954-12-28,10157,69.0,1.85,,us,250000000,True,231,"['actor', 'film_producer', 'film_director', 'spokesperson', 'voice_actor']"
judy greer,female,1975-07-20,10158,48.0,1.78,,us,5000000,True,237,"['actor', 'voice_actor', 'television_producer']"
thomas jane,male,1969-02-22,10159,55.0,1.8,,us,16000000,True,241,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']"
will smith,male,1968-09-25,10160,55.0,1.88,,us,350000000,True,242,"['actor', 'film_producer', 'record_producer', 'television_producer', 'rapper', 'screenwriter']"
will smith (nfl),male,1981-07-04,10161,42.0,1.91,,us,13000000,True,242,['american_football_player']
tom hiddleston,male,1981-02-09,10162,43.0,1.87,,gb,25000000,True,243,"['actor', 'voice_actor']"
vincent martella,male,1992-10-15,10163,31.0,1.65,,us,3000000,True,244,"['actor', 'singer', 'voice_actor']"
jon bernthal,male,1976-09-20,10164,47.0,1.78,,us,10000000,True,245,['actor']
woody harrelson,male,1961-07-23,10165,62.0,1.78,,us,70000000,True,246,"['actor', 'businessperson', 'television_producer']"
odeya rush,female,1997-05-12,10166,26.0,1.61,,il,500000,True,247,['actor']
laurence fishburne,male,1961-07-30,10167,62.0,1.84,,us,30000000,True,250,"['actor', 'playwright', 'film_producer', 'film_director', 'voice_actor', 'screenwriter']"
miles teller,male,1987-02-20,10168,37.0,1.83,,us,10000000,True,254,['actor']
rebecca hall,female,1982-05-19,10169,41.0,1.75,,gb,7000000,True,255,['actor']
margot robbie,female,1990-07-02,10170,33.0,1.68,,au,26000000,True,256,['actor']
jerome flynn,male,1963-03-16,10171,61.0,1.83,,gb,3000000,True,258,"['actor', 'singer']"
ryan gosling,male,1980-11-12,10172,43.0,1.84,,ca,70000000,True,260,"['actor', 'musician', 'restaurateur', 'film_director', 'screenwriter', 'film_producer', 'activist']"
kristin chenoweth,female,1968-07-24,10173,55.0,1.5,,us,16000000,True,261,"['singer', 'actor', 'author', 'voice_actor']"
kate hudson,female,1979-04-19,10174,44.0,1.68,,us,80000000,True,263,"['actor', 'film_producer']"
victor garber,male,1949-03-16,10175,75.0,1.88,,ca,5000000,True,264,"['actor', 'singer']"
vince vaughn,male,1970-03-28,10176,53.0,1.96,,us,70000000,True,265,"['actor', 'comedian', 'film_producer', 'screenwriter', 'television_producer']"
liam neeson,male,1952-06-07,10177,71.0,1.93,,us,145000000,True,267,"['actor', 'voice_actor']"
steve carell,male,1962-08-16,10178,61.0,1.75,,us,80000000,True,268,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']"
steven yeun,male,1983-12-21,10179,40.0,1.75,,us,4000000,True,269,['actor']
jenna fischer,female,1974-03-07,10180,50.0,1.64,,us,16000000,True,270,"['actor', 'television_producer', 'film_director']"
hugh bonneville,male,1963-11-10,10181,60.0,1.87,,gb,8000000,True,271,['actor']
jaeden lieberher,,,10182,,,,,4000000,,273,
kate winslet,female,1975-10-05,10183,48.0,1.69,,gb,65000000,True,274,"['actor', 'singer', 'voice_actor']"
tom hanks,male,1956-07-09,10184,67.0,1.83,,us,400000000,True,275,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']"
jackie chan,male,1954-04-07,10185,69.0,1.74,,hk,400000000,True,276,"['actor', 'film_producer', 'film_director', 'stunt_performer', 'screenwriter', 'martial_artist', 'singer', 'television_producer', 'entrepreneur', 'comedian']"
tatiana maslany,female,1985-09-22,10186,38.0,1.63,,ca,3000000,True,277,['actor']
judi dench,female,1934-12-09,10187,89.0,1.55,,gb,45000000,True,278,"['actor', 'author', 'voice_actor', 'theatre_director', 'musician']"
jennifer lawrence,female,1990-08-15,10188,33.0,1.75,,us,160000000,True,279,"['actor', 'model', 'film_producer']"
scott eastwood,male,1986-03-21,10189,38.0,,,us,10000000,True,280,['actor']
mark rylance,male,1960-01-18,10190,64.0,1.73,,gb,10000000,True,281,"['actor', 'theatre_director', 'playwright']"
tom cruise,male,1962-07-03,10191,61.0,1.7,,us,600000000,True,282,"['actor', 'film_producer', 'screenwriter', 'television_director']"
timothy spall,male,1957-02-27,10192,67.0,1.7,,gb,4000000,True,284,"['actor', 'presenter', 'voice_actor']"
john boyega,male,1992-03-17,10193,32.0,,,gb,6000000,True,285,['actor']
taron egerton,,,10194,,,,,6000000,,286,
joey lawrence,male,1976-04-20,10195,47.0,1.73,,us,250000,True,291,"['actor', 'presenter', 'television_producer', 'voice_actor', 'record_producer', 'singer-songwriter']"
willem dafoe,male,1955-07-22,10196,68.0,1.78,,us,40000000,True,293,"['actor', 'voice_actor', 'model']"
sean penn,male,1960-08-17,10197,63.0,1.73,,us,70000000,True,294,"['actor', 'film_director', 'film_producer', 'screenwriter', 'politician']"
sam heughan,male,1980-04-30,10198,43.0,1.92,,gb,5000000,True,295,['actor']
burt ward,male,1945-07-06,10199,78.0,1.73,,us,20000000,True,296,['actor']
michael keaton,male,1951-09-05,10200,72.0,1.78,,us,40000000,True,299,"['actor', 'dancer', 'singer', 'comedian', 'voice_actor']"
joel edgerton,male,1974-06-23,10201,49.0,1.8,,au,3000000,True,300,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']"
dane dehaan,male,1986-02-06,10202,38.0,1.7,,us,750000,True,303,['actor']
peter dinklage,male,1969-06-11,10203,54.0,1.35,,us,25000000,True,304,"['actor', 'voice_actor']"
daniel craig,male,1968-03-02,10204,56.0,1.78,,gb,160000000,True,305,"['actor', 'voice_actor']"
ryan reynolds,male,1976-10-23,10205,47.0,1.88,,ca,150000000,True,306,"['actor', 'voice_actor', 'film_producer']"
dane dehaan,male,1986-02-06,10206,38.0,1.7,,us,750000,True,307,['actor']
jonathan pryce,male,1947-06-01,10207,76.0,1.83,,gb,5000000,True,312,"['actor', 'singer', 'salesman', 'voice_actor', 'film_score_composer']"
mark hamill,male,1951-09-25,10208,72.0,1.75,,us,18000000,True,313,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']"
james mcavoy,male,1979-04-21,10209,44.0,1.7,,gb,17000000,True,315,"['actor', 'voice_actor']"
maria valverde,female,1987-03-24,10210,36.0,1.64,,es,6000000,True,316,['actor']
woody harrelson,male,1961-07-23,10211,62.0,1.78,,us,70000000,True,317,"['actor', 'businessperson', 'television_producer']"
elizabeth olsen,female,1989-02-16,10212,35.0,1.7,,us,11000000,True,319,"['actor', 'singer']"
owen wilson,male,1968-11-18,10213,55.0,1.79,,us,70000000,True,320,"['actor', 'screenwriter', 'film_producer', 'voice_actor']"
lori loughlin,female,1964-07-28,10214,59.0,1.68,,us,70000000,True,322,"['actor', 'television_producer', 'model', 'screenwriter']"
sally hawkins,female,1976-04-27,10215,47.0,,,gb,4000000,True,324,['actor']
hugh bonneville,male,1963-11-10,10216,60.0,1.87,,gb,8000000,True,325,['actor']
willem dafoe,male,1955-07-22,10217,68.0,1.78,,us,40000000,True,326,"['actor', 'voice_actor', 'model']"
woody harrelson,male,1961-07-23,10218,62.0,1.78,,us,70000000,True,328,"['actor', 'businessperson', 'television_producer']"
rosamund pike,female,1979-01-27,10219,45.0,1.74,,gb,9000000,True,331,['actor']
matthew gray gubler,male,1980-03-09,10220,44.0,1.85,,us,10000000,True,332,"['actor', 'film_director', 'painter', 'fashion_model', 'photographer', 'television_director', 'screenwriter', 'film_producer', 'cinematographer', 'film_editor']"
regina hall,female,1970-12-12,10221,53.0,1.63,,us,4000000,True,333,['actor']
mark strong,male,1963-08-05,10222,60.0,1.88,,gb,9000000,True,334,"['actor', 'voice_actor']"
tom hollander,male,1967-08-25,10223,56.0,1.65,,gb,5000000,True,335,"['actor', 'television_producer', 'screenwriter']"
tom holland,male,1996-06-01,10224,27.0,,,,15000000,True,335,"['film_director', 'actor', 'screenwriter', 'television_director', 'film_producer', 'television_producer']"
john john florence,male,1992-10-18,10225,31.0,1.83,,us,12000000,True,337,"['actor', 'stunt_performer']"
nicole kidman,female,1967-06-20,10226,56.0,1.8,,au,250000000,True,339,"['singer', 'actor', 'film_producer']"
kenny aronoff,male,1953-03-07,10227,71.0,,,us,10000000,True,340,['drummer']
jon hamm,male,1971-03-10,10228,53.0,1.88,,us,40000000,True,341,"['actor', 'television_producer', 'television_director', 'film_director', 'voice_actor', 'comedian']"
michelle williams (destiny's child),female,1979-07-23,10229,44.0,1.75,,us,10000000,True,342,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']"
michelle williams,female,1980-09-09,10230,43.0,1.63,,us,30000000,True,342,['actor']
robert de niro,male,1943-08-17,10231,80.0,1.77,,us,500000000,True,343,"['actor', 'film_producer', 'film_director', 'voice_actor', 'television_producer']"
teresa palmer,female,1986-02-26,10232,38.0,1.67,,au,3000000,True,344,"['actor', 'model', 'film_producer']"
naomi watts,female,1968-09-28,10233,55.0,1.64,,au,30000000,True,346,"['actor', 'film_producer', 'voice_actor']"
rooney mara,female,1985-04-17,10234,38.0,1.6,,us,16000000,True,349,['actor']
steve carell,male,1962-08-16,10235,61.0,1.75,,us,80000000,True,351,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']"
miranda richardson,female,1958-03-03,10236,66.0,1.65,,gb,8000000,True,352,"['actor', 'voice_actor']"
mindy cohn,female,1966-05-20,10237,57.0,,,us,1000000,True,353,"['actor', 'voice_actor', 'comedian', 'singer']"
johnny depp,male,1963-06-09,10238,60.0,1.78,,us,150000000,True,355,"['actor', 'film_producer', 'musician', 'film_director', 'screenwriter', 'voice_actor', 'restaurateur', 'winemaker']"
sam elliott,male,1944-08-09,10239,79.0,1.88,,us,10000000,True,356,"['actor', 'voice_actor', 'film_producer']"
