name,gender,birthday,occupation,age,height,death,nationality,net_worth,is_alive,id
john carroll lynch,male,1963-08-01,['actor'],60,1.91,,us,3000000,True,65
paul thomas anderson,male,1970-06-26,"['screenwriter', 'film_producer', 'film_director', 'actor']",53,,,us,70000000,True,66
aaron sorkin,male,1961-06-09,"['screenwriter', 'television_producer', 'playwright', 'script_doctor', 'actor']",62,,,us,90000000,True,67
ridley scott,male,1937-11-30,"['film_producer', 'film_director', 'production_designer', 'television_producer', 'television_director']",86,1.74,,gb,400000000,True,77
zak bagans,male,1977-04-05,"['television_producer', 'television_director', 'television_editor', 'writer']",46,1.82,,us,30000000,True,89
woody allen,male,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",88,1.65,,us,140000000,True,99
alex garland,male,1970,"['screenwriter', 'film_producer', 'author', 'novelist', 'writer']",,,,gb,5000000,,106
brian johnson,male,1947-10-05,"['singer', 'singer-songwriter', 'film_score_composer', 'actor', 'lyricist']",76,1.65,,gb,90000000,True,109
rian johnson,male,1973-12-17,"['screenwriter', 'film_director', 'film_producer', 'film_editor']",50,1.68,,us,20000000,True,109
guillermo del toro,male,1964-10-09,"['film_director', 'screenwriter', 'film_producer', 'actor', 'novelist', 'television_director', 'television_producer', 'voice_actor']",59,1.78,,mx,30000000,True,119
michael moore,male,1954-04-23,"['film_director', 'film_producer', 'screenwriter', 'writer', 'actor', 'critic', 'presenter']",69,1.82,,us,30000000,True,123
xavier dolan,male,1989-03-20,"['screenwriter', 'film_director', 'actor', 'film_producer', 'film_editor', 'voice_actor']",35,1.69,,ca,4000000,True,137
guillermo del toro,male,1964-10-09,"['film_director', 'screenwriter', 'film_producer', 'actor', 'novelist', 'television_director', 'television_producer', 'voice_actor']",59,1.78,,mx,30000000,True,143
carlos saldanha,male,1965-01-24,"['film_director', 'film_producer', 'animator', 'voice_actor', 'screenwriter']",59,,,br,10000000,True,144
woody allen,male,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",88,1.65,,us,140000000,True,157
james franco,male,1978-04-19,"['actor', 'author', 'film_director', 'screenwriter', 'film_producer', 'teacher', 'model', 'film_editor', 'poet']",45,1.8,,us,30000000,True,158
armando iannucci,male,1963-11-28,"['radio_producer', 'comedian', 'writer', 'screenwriter', 'satirist', 'television_director', 'television_producer', 'film_producer']",60,,,gb,8000000,True,170
bo burnham,male,1990-08-21,"['actor', 'singer-songwriter', 'comedian', 'rapper', 'musician', 'screenwriter']",33,1.96,,us,4000000,True,180
stanley tucci,male,1960-11-11,"['actor', 'screenwriter', 'television_producer', 'film_producer', 'film_director', 'writer', 'voice_actor']",63,1.72,,us,25000000,True,195
greta gerwig,female,1983-08-04,"['actor', 'screenwriter', 'playwright', 'voice_actor', 'film_director']",40,1.73,,us,4000000,True,199
zack snyder,male,1966-03-01,"['film_director', 'film_producer', 'screenwriter']",58,1.7,,us,60000000,True,204
ari sandel,male,,"['film_director', 'film_producer']",,,,us,1000000,,217
lee unkrich,male,1967-08-08,"['film_director', 'film_editor', 'screenwriter', 'voice_actor']",56,,,us,2500000,True,221
kenneth branagh,male,1960-12-10,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_producer', 'voice_actor']",63,1.77,,gb,60000000,True,222
francis lee,male,1944-04-29,['football_player'],79,,,gb,18000000,True,228
dan gilroy,male,1959-06-24,['screenwriter'],64,1.8,,us,10000000,True,231
noah baumbach,male,1969-09-03,"['screenwriter', 'film_director', 'actor', 'film_producer']",54,1.75,,us,16000000,True,236
david ayer,male,1968-01-18,"['screenwriter', 'film_director', 'film_producer', 'actor']",56,1.89,,us,20000000,True,242
taika waititi,male,1975-08-16,"['film_director', 'screenwriter', 'comedian', 'actor', 'photographer']",48,,,nz,3000000,True,243
rob reiner,male,1947-03-06,"['film_director', 'actor', 'film_producer', 'screenwriter', 'activist']",77,1.88,,us,200000000,True,246
richard linklater,male,1960-07-30,"['film_director', 'screenwriter', 'film_producer', 'actor', 'television_producer', 'television_director', 'cinematographer']",63,1.75,,us,12000000,True,250
angela robinson,female,1971-02-14,"['film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer']",53,,,us,3000000,True,255
simon curtis,male,1960-03-11,"['film_producer', 'television_director', 'television_producer', 'film_director']",64,,,gb,20000000,True,256
denis villeneuve,male,1967-10-03,"['film_director', 'screenwriter']",56,,,ca,16000000,True,260
martin campbell,male,1943-10-24,"['film_director', 'television_director', 'film_producer', 'television_producer', 'actor']",80,,,nz,20000000,True,262
danny strong,male,1974-06-06,"['actor', 'screenwriter', 'film_producer']",49,1.57,,us,5000000,True,264
mike white,male,1970-06-28,"['screenwriter', 'actor', 'television_producer', 'film_producer', 'film_director', 'television_director']",53,1.75,,us,4000000,True,270
mike whiteside,,,,,,,,1000000,,270
andy serkis,male,1964-04-20,"['actor', 'voice_actor', 'author', 'film_director', 'film_producer']",59,1.73,,gb,28000000,True,271
stephen frears,male,1941-06-20,"['film_director', 'film_producer', 'actor', 'television_director', 'television_producer']",82,1.7,,gb,10000000,True,278
darren aronofsky,male,1969-02-12,"['film_director', 'film_producer', 'screenwriter', 'actor']",55,1.83,,us,25000000,True,279
christopher nolan,male,1970-07-30,"['screenwriter', 'film_producer', 'film_director', 'cinematographer', 'editor', 'film_editor']",53,1.8,,us,250000000,True,281
doug liman,male,1965-07-24,"['television_producer', 'film_producer', 'film_director', 'television_director', 'cinematographer']",58,1.87,,us,50000000,True,282
kathryn bigelow,female,1951-11-27,"['film_director', 'screenwriter', 'film_producer', 'actor', 'television_director']",72,1.82,,us,40000000,True,285
matthew vaughn,male,1971-03-07,"['film_director', 'film_producer', 'screenwriter', 'television_producer']",53,1.83,,gb,30000000,True,286
justin chon,male,1981-05-29,"['actor', 'entrepreneur', 'film_director']",42,1.67,,us,5000000,True,290
steve buscemi,male,1957-12-13,"['actor', 'film_producer', 'television_director', 'film_director', 'screenwriter', 'voice_actor', 'firefighter']",66,1.75,,us,35000000,True,293
michael damian,male,1962-04-26,"['actor', 'film_director', 'film_producer', 'screenwriter', 'musician']",61,1.82,,us,3000000,True,295
steven soderbergh,male,1963-01-14,"['film_producer', 'television_producer', 'film_director', 'television_director', 'cinematographer', 'film_editor', 'screenwriter', 'television_editor', 'actor']",61,1.83,,us,80000000,True,305
luc besson,male,1959-03-18,"['screenwriter', 'film_producer', 'film_director', 'television_producer', 'actor']",65,1.73,,fr,100000000,True,307
douglas barr,male,1949-05-01,"['actor', 'film_director', 'screenwriter']",74,,,us,5000000,True,322
mark williams,male,1959-08-22,"['comedian', 'actor', 'presenter', 'screenwriter']",64,1.85,,gb,6000000,True,326
sofia coppola,female,1971-05-14,"['actor', 'film_producer', 'film_director', 'screenwriter', 'television_producer']",52,1.64,,us,40000000,True,339
edgar wright,male,1974-04-18,"['film_director', 'television_director', 'screenwriter', 'actor', 'film_producer', 'editor', 'television_producer', 'tv_editor']",49,,,gb,10000000,True,341
barry levinson,male,1942-04-06,"['film_director', 'film_producer', 'actor', 'screenwriter', 'television_producer', 'television_director']",81,1.8,,us,150000000,True,343
colin trevorrow,male,1976-09-13,"['screenwriter', 'film_director', 'film_producer']",47,,,us,5000000,True,346
terrence malick,male,1943-11-30,"['screenwriter', 'film_director', 'film_producer', 'actor', 'journalist', 'author']",80,1.7,,us,15000000,True,350
michael showalter,male,1970-06-17,"['actor', 'comedian', 'television_producer', 'television_director', 'screenwriter', 'film_producer', 'film_director']",53,1.8,,us,3000000,True,357
nick broomfield,male,1948-01-30,"['film_director', 'film_producer', 'film_editor', 'screenwriter', 'filmmaker', 'television_director', 'television_producer']",76,,,gb,3000000,True,359
patty jenkins,female,1971-07-24,"['screenwriter', 'film_director', 'television_director']",52,,,us,25000000,True,360
sean foley,male,1964-11-21,"['actor', 'theatre_director', 'comedian', 'writer']",59,,,gb,4000000,True,361
james gunn,male,1970-08-05,"['screenwriter', 'film_producer', 'actor', 'film_director', 'television_producer', 'television_director', 'novelist', 'musician', 'cartoonist']",53,1.82,,us,50000000,True,377
doug liman,male,1965-07-24,"['television_producer', 'film_producer', 'film_director', 'television_director', 'cinematographer']",58,1.87,,us,50000000,True,379
ridley scott,male,1937-11-30,"['film_producer', 'film_director', 'production_designer', 'television_producer', 'television_director']",86,1.74,,gb,400000000,True,383
guy ritchie,male,1968-09-10,"['film_director', 'screenwriter', 'film_producer', 'television_producer', 'businessperson', 'actor', 'copywriter']",55,1.8,,gb,150000000,True,387
zach braff,male,1975-04-06,"['actor', 'film_director', 'voice_actor', 'television_producer', 'television_director', 'screenwriter', 'film_producer']",48,1.83,,us,20000000,True,388
rupert sanders,male,1971-03-16,['film_director'],53,1.91,,gb,15000000,True,393
marc webb,male,1974-08-31,"['film_director', 'music_video_director', 'television_producer', 'film_editor']",49,,,us,18000000,True,394
ken loach,male,1936-06-17,"['film_director', 'television_director', 'screenwriter', 'television_producer']",87,,,gb,5000000,True,396
brian goodman,male,1963,"['actor', 'film_director', 'screenwriter', 'television_director']",,,,us,5000000,,407
byron maxwell,male,1988-02-23,['american_football_player'],36,1.85,,us,1500000,True,415
dax shepard,male,1975-01-02,"['actor', 'comedian', 'screenwriter', 'film_director', 'voice_actor']",49,1.88,,us,40000000,True,421
victor salva,male,1958-03-29,"['film_director', 'screenwriter', 'film_producer']",65,,,us,100000,True,432
gore verbinski,male,1964-03-16,"['film_director', 'screenwriter', 'musician', 'film_producer', 'music_video_director']",60,,,us,130000000,True,435
danny boyle,male,1956-10-20,"['film_producer', 'film_director', 'screenwriter', 'television_director', 'television_producer', 'theatre_director']",67,1.82,,gb,60000000,True,437
james mangold,male,1963-12-16,"['screenwriter', 'film_director', 'television_producer', 'television_director']",60,1.82,,us,20000000,True,439
bill condon,male,1955-10-22,"['screenwriter', 'film_director', 'film_producer', 'writer', 'actor']",68,1.65,,us,5000000,True,441
jordan peele,male,1979-02-21,"['comedian', 'actor', 'screenwriter', 'television_producer', 'musician', 'lyricist']",45,1.75,,us,50000000,True,447
rob sitch,male,1962-03-17,"['physician', 'screenwriter', 'actor', 'comedian', 'television_producer', 'television_director', 'film_producer', 'film_director']",62,,,au,16000000,True,450
stephen gaghan,male,1965-05-06,"['screenwriter', 'film_director', 'television_producer']",58,,,us,14000000,True,456
damien chazelle,male,1985-01-19,"['cinematographer', 'screenwriter', 'film_producer', 'film_director', 'film_editor']",39,,,us,10000000,True,461
jim jarmusch,male,1953-01-22,"['film_director', 'film_producer', 'screenwriter', 'actor', 'film_editor', 'cinematographer', 'film_score_composer']",71,1.88,,us,5000000,True,472
peter bergman,male,1953-06-11,['actor'],70,,,us,10000000,True,475
peter berg,male,1962-03-11,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer']",62,1.85,,us,40000000,True,475
martin scorsese,male,1942-11-17,"['film_producer', 'actor', 'film_director', 'screenwriter', 'television_producer', 'television_director', 'film_editor', 'film_historian']",81,1.63,,us,150000000,True,477
mike mills,male,1958-12-17,"['record_producer', 'musician', 'songwriter', 'organist', 'keyboard_player', 'bassist', 'composer', 'multi-instrumentalist']",65,,,us,60000000,True,478
ben affleck,male,1972-08-15,"['actor', 'film_director', 'screenwriter', 'film_producer', 'television_producer', 'professional_poker_player', 'businessperson']",51,1.92,,us,150000000,True,480
john madden,male,1936-04-10,"['american_football_player', 'american_football_coach']",87,1.93,,us,200000000,True,482
denzel washington,male,1954-12-28,"['actor', 'film_producer', 'film_director', 'spokesperson', 'voice_actor']",69,1.85,,us,250000000,True,484
david yates,male,1963-11-30,"['film_producer', 'television_producer', 'film_director', 'television_director']",60,,,gb,22000000,True,487
ken loach,male,1936-06-17,"['film_director', 'television_director', 'screenwriter', 'television_producer']",87,,,gb,5000000,True,489
scott derrickson,male,,"['film_director', 'screenwriter', 'film_producer']",,,,us,8000000,,493
robert zemeckis,male,1952-05-14,"['film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer', 'pilot']",71,1.83,,us,60000000,True,495
tom ford,male,1961-08-27,"['fashion_designer', 'film_director', 'screenwriter', 'designer', 'actor', 'film_producer']",62,1.83,,us,500000000,True,496
mel gibson,male,1956-01-03,"['actor', 'screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'voice_actor']",68,1.77,,us,425000000,True,499
jim jarmusch,male,1953-01-22,"['film_director', 'film_producer', 'screenwriter', 'actor', 'film_editor', 'cinematographer', 'film_score_composer']",71,1.88,,us,5000000,True,503
denis villeneuve,male,1967-10-03,"['film_director', 'screenwriter']",56,,,ca,16000000,True,506
ang lee,male,1954-10-23,"['film_director', 'film_producer', 'screenwriter']",69,1.75,,us,32000000,True,509
wang leehom,male,1976-05-17,"['singer-songwriter', 'model', 'musician', 'record_producer', 'actor', 'composer', 'film_director', 'music_arranger']",47,1.78,,us,100000000,True,509
ewan mcgregor,male,1971-03-31,"['actor', 'screenwriter', 'television_producer', 'singer', 'voice_actor']",52,1.79,,gb,25000000,True,511
mike mitchell,,,,,,,,12000000,,514
edward zwick,male,1952-10-08,"['businessperson', 'film_director', 'screenwriter', 'film_producer', 'actor', 'television_producer', 'television_director']",71,1.7,,us,20000000,True,518
ron howard,male,1954-03-01,"['actor', 'film_producer', 'film_director', 'television_producer', 'screenwriter', 'voice_actor', 'television_director']",70,1.75,,us,200000000,True,525
noel clarke,male,1975-12-06,"['screenwriter', 'film_producer', 'actor', 'film_director']",48,1.75,,gb,3000000,True,528
peter bergman,male,1953-06-11,['actor'],70,,,us,10000000,True,529
peter berg,male,1962-03-11,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer']",62,1.85,,us,40000000,True,529
martin kemp,male,1961-10-10,"['actor', 'bassist', 'musician', 'singer-songwriter', 'presenter', 'film_producer', 'film_director']",62,1.83,,gb,4000000,True,530
nate parker,male,1979-11-18,"['actor', 'film_producer', 'musician', 'coach']",44,1.75,,us,3000000,True,532
tati westbrook,,,,,,,,12000000,,538
ricky gervais,male,1961-06-25,"['author', 'comedian', 'actor', 'television_director', 'television_producer', 'screenwriter', 'writer', 'film_director', 'film_producer', 'disc_jockey']",62,1.73,,gb,140000000,True,542
oliver stone,male,1946-09-15,"['screenwriter', 'film_producer', 'film_director', 'actor', 'television_producer', 'cinematographer', 'film_editor', 'author', 'television_director', 'soldier']",77,1.83,,us,70000000,True,543
john krasinski,male,1979-10-20,"['actor', 'television_producer', 'television_director', 'voice_actor', 'film_producer', 'film_director', 'screenwriter']",44,1.91,,us,80000000,True,545
antoine fuqua,male,1966-01-19,"['film_director', 'film_producer', 'music_video_director']",58,,,us,25000000,True,546
werner herzog,male,1942-09-05,"['film_director', 'screenwriter', 'film_producer', 'actor', 'opera_director', 'television_director', 'voice_actor', 'film_editor', 'author']",81,1.85,,de,20000000,True,547
tim burton,male,1958-08-25,"['film_producer', 'film_director', 'screenwriter', 'artist', 'animator', 'television_producer', 'actor', 'television_director', 'poet', 'visual_artist']",65,1.82,,us,100000000,True,548
clint eastwood,male,1930-05-31,"['actor', 'film_director', 'film_producer', 'politician', 'composer', 'pianist', 'film_score_composer', 'television_producer', 'businessperson', 'investor']",93,1.93,,us,375000000,True,549
david ayer,male,1968-01-18,"['screenwriter', 'film_director', 'film_producer', 'actor']",56,1.89,,us,20000000,True,554
rob reiner,male,1947-03-06,"['film_director', 'actor', 'film_producer', 'screenwriter', 'activist']",77,1.88,,us,200000000,True,556
mike birbiglia,male,1978-06-20,"['comedian', 'screenwriter', 'actor', 'film_director']",45,,,us,4000000,True,557
michael damian,male,1962-04-26,"['actor', 'film_director', 'film_producer', 'screenwriter', 'musician']",61,1.82,,us,3000000,True,561
paul greengrass,male,1955-08-13,"['screenwriter', 'film_director', 'television_producer', 'journalist', 'television_director', 'film_producer']",68,,,gb,20000000,True,562
steven spielberg,male,1946-12-18,"['film_producer', 'film_director', 'screenwriter', 'entrepreneur', 'television_producer', 'actor', 'film_editor', 'television_director', 'businessperson']",77,1.72,,us,7000000000,True,565
todd phillips,male,1970-12-20,"['film_director', 'screenwriter', 'film_producer', 'actor']",53,1.83,,us,200000000,True,572
andrew stanton,male,1965-12-03,"['film_director', 'film_producer', 'screenwriter', 'voice_actor']",58,,,us,40000000,True,579
bruce beresford-redman,male,,['television_producer'],,,,us,400000,,581
justin lin,male,,"['film_director', 'film_producer', 'screenwriter', 'television_producer', 'film_editor', 'television_director', 'cinematographer']",,,,us,50000000,,585
matt ross,male,1970-01-03,"['actor', 'film_director', 'screenwriter']",54,1.83,,us,6000000,True,588
taika waititi,male,1975-08-16,"['film_director', 'screenwriter', 'comedian', 'actor', 'photographer']",48,,,nz,3000000,True,601
david yates,male,1963-11-30,"['film_producer', 'television_producer', 'film_director', 'television_director']",60,,,gb,22000000,True,605
keira knightley,female,1985-03-26,"['actor', 'model', 'voice_actor']",38,1.7,,gb,80000000,True,607
nicolas winding refn,male,1970-09-29,"['film_director', 'screenwriter', 'film_producer', 'television_producer', 'actor']",53,,,dk,10000000,True,608
noah baumbach,male,1969-09-03,"['screenwriter', 'film_director', 'actor', 'film_producer']",54,1.75,,us,16000000,True,609
ben jones,male,1941-08-30,"['politician', 'actor', 'businessperson', 'playwright', 'essayist']",82,,,us,500000,True,615
gary rossington,male,1951-12-04,['guitarist'],72,,,us,40000000,True,616
gary ross,male,1956-11-03,"['screenwriter', 'film_director', 'actor', 'film_producer', 'writer']",67,,,us,10000000,True,616
rawson marshall thurber,male,1975-02-09,"['film_director', 'actor', 'screenwriter', 'film_producer']",49,,,us,5000000,True,617
woody allen,male,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",88,1.65,,us,140000000,True,619
duncan jones,male,1971-05-30,"['film_director', 'screenwriter', 'film_producer']",52,,,gb,50000000,True,620
bryan singer,male,1965-09-17,"['television_producer', 'film_producer', 'film_director', 'screenwriter', 'actor']",58,1.78,,us,100000000,True,621
jay roach,male,1957-06-14,"['film_director', 'film_producer', 'screenwriter', 'cinematographer']",66,1.84,,us,100000000,True,622
akiva schaffer,male,1977-12-01,"['film_director', 'actor', 'musician', 'songwriter', 'film_editor', 'television_producer', 'screenwriter', 'television_director', 'tv_editor', 'film_producer']",46,,,us,7000000,True,628
stephen frears,male,1941-06-20,"['film_director', 'film_producer', 'actor', 'television_director', 'television_producer']",82,1.7,,gb,10000000,True,630
anthony russo,male,1970,"['television_director', 'television_producer']",,,,us,20000000,,633
james wan,male,1977-02-26,"['film_director', 'film_producer', 'screenwriter', 'film_editor']",47,1.68,,my,70000000,True,634
gus van sant,male,1952-07-24,"['film_director', 'screenwriter', 'film_producer', 'film_editor', 'painter', 'photographer', 'musician', 'author', 'television_producer', 'actor']",71,1.75,,us,50000000,True,635
matt brown,,,,,,,,1000000,,646
jodie foster,female,1962-11-19,"['actor', 'musician', 'film_director', 'film_producer', 'voice_actor', 'television_director']",61,1.61,,us,100000000,True,649
shane black,male,1961-12-16,"['actor', 'screenwriter', 'film_director', 'film_producer']",62,,,us,16000000,True,652
jon favreau,male,1966-10-19,"['actor', 'film_producer', 'comedian', 'television_director', 'film_director', 'voice_actor', 'screenwriter', 'television_producer']",57,1.83,,us,100000000,True,653
guillermo del toro,male,1964-10-09,"['film_director', 'screenwriter', 'film_producer', 'actor', 'novelist', 'television_director', 'television_producer', 'voice_actor']",59,1.78,,mx,30000000,True,660
rick famuyiwa,male,1973-06-18,"['screenwriter', 'film_director']",50,1.93,,us,1500000,True,666
woody allen,male,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",88,1.65,,us,140000000,True,672
james cameron,male,1954-08-16,"['film_director', 'film_producer', 'screenwriter', 'inventor', 'actor', 'film_editor', 'explorer', 'environmentalist', 'television_producer']",69,1.87,,ca,700000000,True,674
robert carlyle,male,1961-04-14,['actor'],62,1.73,,gb,10000000,True,675
don cheadle,male,1964-11-29,"['actor', 'film_producer', 'television_producer', 'author', 'voice_actor', 'film_director', 'screenwriter']",59,1.73,,us,35000000,True,685
zack snyder,male,1966-03-01,"['film_director', 'film_producer', 'screenwriter']",58,1.7,,us,60000000,True,686
tom hooper,male,1972-10-01,"['film_director', 'television_director', 'film_producer', 'screenwriter']",51,,,au,20000000,True,687
richard linklater,male,1960-07-30,"['film_director', 'screenwriter', 'film_producer', 'actor', 'television_producer', 'television_director', 'cinematographer']",63,1.75,,us,12000000,True,689
renny harlin,male,1959-03-15,"['film_director', 'actor', 'film_producer', 'television_director', 'screenwriter', 'cinematographer']",65,1.93,,fi,10000000,True,690
woody allen,male,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",88,1.65,,us,140000000,True,693
kenny ortega,male,1950-04-18,"['film_producer', 'television_director', 'choreographer', 'actor', 'television_producer', 'film_director']",73,,,us,14000000,True,694
kirk jones,male,1973-11-03,"['actor', 'rapper', 'film_director', 'film_producer', 'screenwriter', 'voice_actor', 'film_score_composer']",50,1.77,,us,1000000,True,698
tim blake nelson,male,1964-05-11,"['film_director', 'actor', 'screenwriter', 'playwright', 'film_producer', 'singer']",59,1.65,,us,5000000,True,700
leigh whannell,male,1977-01-17,"['screenwriter', 'actor', 'film_producer', 'voice_actor']",47,1.7,,au,55000000,True,709
gavin hood,male,1963-05-12,"['actor', 'screenwriter', 'film_director', 'television_producer']",60,,,za,25000000,True,712
kirk jones,male,1973-11-03,"['actor', 'rapper', 'film_director', 'film_producer', 'screenwriter', 'voice_actor', 'film_score_composer']",50,1.77,,us,1000000,True,717
dexter fletcher,male,1966-01-31,"['actor', 'film_director', 'screenwriter']",58,1.68,,gb,6000000,True,718
spike lee,male,1957-03-20,"['screenwriter', 'actor', 'film_director', 'film_producer', 'television_director', 'television_producer', 'film_editor', 'teacher']",67,1.68,,us,50000000,True,720
walter hill,male,1942-01-10,"['film_director', 'film_producer', 'screenwriter', 'television_producer', 'television_director']",82,,,us,20000000,True,724
joel schumacher,male,1939-08-29,"['screenwriter', 'film_director', 'film_producer', 'costume_designer', 'television_director', 'television_producer', 'writer']",80,1.91,2020-06-22,us,80000000,False,725
steven soderbergh,male,1963-01-14,"['film_producer', 'television_producer', 'film_director', 'television_director', 'cinematographer', 'film_editor', 'screenwriter', 'television_editor', 'actor']",61,1.83,,us,80000000,True,726
louis leterrier,,,,,,,,14000000,,728
michael showalter,male,1970-06-17,"['actor', 'comedian', 'television_producer', 'television_director', 'screenwriter', 'film_producer', 'film_director']",53,1.8,,us,3000000,True,729
robert altman,male,1925-02-20,"['film_director', 'film_producer', 'screenwriter', 'writer', 'television_director', 'television_producer', 'actor', 'film_editor']",81,1.83,2006-11-20,us,60000000,False,731
woody allen,male,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",88,1.65,,us,140000000,True,737
michael bay,male,1965-02-17,"['film_director', 'film_producer', 'actor', 'music_video_director', 'television_producer', 'businessperson']",59,1.85,,us,450000000,True,738
ethan coen,male,1957-09-21,"['film_director', 'screenwriter', 'film_producer', 'film_editor', 'television_producer', 'actor']",66,1.72,,us,60000000,True,741
sylvester stallone,male,1946-07-06,"['screenwriter', 'actor', 'film_director', 'television_producer', 'film_producer', 'voice_actor']",77,1.77,,us,400000000,True,744
chris smith,,,,,,,,200000,,747
neil labute,male,1963-03-19,"['screenwriter', 'film_director', 'playwright', 'film_producer', 'television_producer']",61,1.83,,us,4000000,True,758
sofia coppola,female,1971-05-14,"['actor', 'film_producer', 'film_director', 'screenwriter', 'television_producer']",52,1.64,,us,40000000,True,759
john madden,male,1936-04-10,"['american_football_player', 'american_football_coach']",87,1.93,,us,200000000,True,761
stephen frears,male,1941-06-20,"['film_director', 'film_producer', 'actor', 'television_director', 'television_producer']",82,1.7,,gb,10000000,True,769
